PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
29343568,PMC5972900,An Alternate Route for Adeno-associated Virus (AAV) Entry Independent of AAV Receptor.,2018,J Virol,10.1128/JVI.02213-17,"['Amanda M Dudek', 'Sirika Pillay', 'Andreas S Puschnik', 'Claude M Nagamine', 'Fang Cheng', 'Jianming Qiu', 'Jan E Carette', 'Luk H Vandenberghe']","['AAV', 'adeno-associated virus', 'attachment', 'gene therapy', 'vector', 'viral entry', 'viral gene transfer', 'virus', 'virus receptor']","Determinants and mechanisms of cell attachment and entry steer adeno-associated virus (AAV) in its utility as a gene therapy vector. Thus far, a systematic assessment of how diverse AAV serotypes engage their proteinaceous receptor AAVR (KIAA0319L) to establish transduction has been lacking, despite potential implications for cell and tissue tropism. Here, a large set of human and simian AAVs as well as "
27852862,PMC5244341,"Adeno-associated Virus (AAV) Assembly-Activating Protein Is Not an Essential Requirement for Capsid Assembly of AAV Serotypes 4, 5, and 11.",2017,J Virol,10.1128/JVI.01980-16,"['Lauriel F Earley', 'John M Powers', 'Kei Adachi', 'Joshua T Baumgart', 'Nancy L Meyer', 'Qing Xie', 'Michael S Chapman', 'Hiroyuki Nakai']","['adeno-associated virus', 'assembly-activating protein', 'capsid assembly', 'gene therapy', 'nucleolus', 'parvovirus']","Adeno-associated virus (AAV) vectors have made great progress in their use for gene therapy; however, fundamental aspects of AAV's capsid assembly remain poorly characterized. In this regard, the discovery of assembly-activating protein (AAP) sheds new light on this crucial part of AAV biology and vector production. Previous studies have shown that AAP is essential for assembly; however, how its mechanistic roles in assembly might differ among AAV serotypes remains uncharacterized. Here, we show that biological properties of AAPs and capsid assembly processes are surprisingly distinct among AAV serotypes 1 to 12. In the study, we investigated subcellular localizations and assembly-promoting functions of AAP1 to -12 (i.e., AAPs derived from AAV1 to -12, respectively) and examined the AAP dependence of capsid assembly processes of these 12 serotypes using combinatorial approaches that involved immunofluorescence and transmission electron microscopy, barcode-Seq (i. e., a high-throughput quantitative method using DNA barcodes and a next-generation sequencing technology), and quantitative dot blot assays. This study revealed that AAP1 to -12 are all localized in the nucleus with serotype-specific differential patterns of nucleolar association; AAPs and assembled capsids do not necessarily colocalize; AAPs are promiscuous in promoting capsid assembly of other serotypes, with the exception of AAP4, -5, -11, and -12; assembled AAV5, -8, and -9 capsids are excluded from the nucleolus, in contrast to the nucleolar enrichment of assembled AAV2 capsids; and, surprisingly, AAV4, -5, and -11 capsids are not dependent on AAP for assembly. These observations highlight the serotype-dependent heterogeneity of the capsid assembly process and challenge current notions about the role of AAP and the nucleolus in capsid assembly."
27928011,PMC5286889,High Prevalence of Infectious Adeno-associated Virus (AAV) in Human Peripheral Blood Mononuclear Cells Indicative of T Lymphocytes as Sites of AAV Persistence.,2017,J Virol,10.1128/JVI.02137-16,"['Daniela Hüser', 'Dina Khalid', 'Timo Lutter', 'Eva-Maria Hammer', 'Stefan Weger', 'Melanie Heßler', 'Ulrich Kalus', 'Yvonne Tauchmann', 'Karin Hensel-Wiegel', 'Dirk Lassner', 'Regine Heilbronn']","['T lymphocytes', 'adeno-associated virus', 'blood mononuclear cells', 'human herpesviruses', 'latency', 'leukocytes', 'molecular epidemiology', 'persistence']","Seroepidemiology shows that infections with adeno-associated virus (AAV) are widespread, but diverse AAV serotypes isolated from humans or nonhuman primates have so far not been proven to be causes of human disease. In view of the increasing success of AAV-derived vectors in human gene therapy, definition of the in vivo sites of wild-type AAV persistence and the clinical consequences of its reactivation is becoming increasingly urgent. Here, we identify the presumed cell type for AAV persistence in the human host by highly sensitive AAV PCRs developed for the full spectrum of human AAV serotypes. In genomic-DNA samples from leukocytes of 243 healthy blood donors, 34% were found to be AAV positive, predominantly AAV type 2 (AAV2) (77%), AAV5 (19%), and additional serotypes. Roughly 11% of the blood donors had mixed AAV infections. AAV prevalence was dramatically increased in immunosuppressed patients, 76% of whom were AAV positive. Of these, at least 45% displayed mixed infections. Follow-up of single blood donors over 2 years allowed repeated detection of the initial and/or additional AAV serotypes, suggestive of fluctuating, persistent infection. Leukocyte separation revealed that AAV resided in CD3"
30828065,,Adeno Associated Virus (AAV) as a Tool for Clinical and Experimental Delivery of Target Genes into the Mammalian Retina.,2019,Biol Pharm Bull,10.1248/bpb.b18-00913,"['Tesshu Hori', 'Masashi Fukutome', 'Chieko Koike']","['adeno associated virus', 'gene therapy', 'mammalian retina']","With an increasing number of identified causative genes, the widespread use of gene therapy is quickly becoming feasible. Once a target gene is selected, it is important to have a cell delivery method that is both specific and efficient. Cell type specificity and high efficiency is particularly important for the treatment of retinal degeneration, since viruses are efficient gene delivery vehicles for the nervous system, but often bring with them non-specific infections. In this review, we focus on adeno-associated virus (AAV). Over the last few decades, AAV has become a leading choice for safe gene delivery, in part due to its replication deficiency in cells without a helper virus. Here, we summarize the tropism of recombinant AAV (rAAV) for various types of mammalian retinal neurons in relation to capsid serotype and administration method. We also include our recent findings on an AAV serotype that AAV was specifically infected mouse cone photoreceptors when delivered by subretinal administration."
31237922,PMC6592604,Effect of adeno-associated virus (AAV)-mediated overexpression of PEPCK-M (Pck2) on Clenbuterol-induced muscle growth.,2019,PLoS One,10.1371/journal.pone.0218970,"['David M Loczenski-Brown', 'Sarah Jones', 'Jeni Luckett', 'Zoe Daniel', 'Madelaine C Brearley', 'Francis J P Ebling', 'Tim Parr', 'John M Brameld']",[],"We previously identified PEPCK-M (encoded by the Pck2 gene) to be highly up-regulated in skeletal muscle of pigs treated with Ractopamine, an anabolic beta-adrenergic receptor agonist. To determine whether PEPCK-M had a causative role in modulating the skeletal muscle growth response to Ractopamine, we used adeno-associated virus 1 (AAV1) to over-express Pck2 (AAV-Pck2) in murine skeletal muscle. A contralateral limb design was employed, such that each mouse served as its own control (injected with a GFP-only expressing AAV1, labelled AAV-GFP). Daily injections of Clenbuterol (1 mg/kg for 21 days) or vehicle control were also carried out to assess the effects of AAV-Pck2 overexpression on the anabolic response to a beta-adrenergic agonist. AAV-Pck2 overexpression in leg muscles of male C57BL6/J mice for 4 weeks (6-10 weeks of age) increased Pck2 mRNA (~100-fold), protein (not quantifiable) and enzyme activity (~3-fold). There was a trend (p = 0.0798) for AAV-Pck2 overexpression to reduce TA muscle weights, but there was no significant effect on muscle fibre diameters or myosin heavy chain isoform (MyHC) mRNA expression. When skeletal muscle growth was induced by daily administration of Clenbuterol (for 21 days), overexpression of AAV-Pck2 had no effect on the growth response, nor did it alter the expression of Phosphoserine Aminotransferase-1 (Psat1) or Asparagine Synthetase (Asns) mRNA or the Clenbuterol-induced decreases in MyHC IIa and IIx mRNA expression (p = 0.0065 and p = 0.0267 respectively). However AAV-Pck2 overexpression reduced TA muscle weights (p = 0.0434), particularly in the Control (vehicle treated) mice (p = 0.059 for AAV x Clenbuterol interaction) and increased the expression of Seryl-tRNA Synthetase (Sars) mRNA (p = 0.0477). Hence, contrary to the original hypothesis, AAV-Pck2 overexpression reduced TA muscle weights and did not mimic or alter the muscle hypertrophic effects of the beta-adrenergic agonist, Clenbuterol."
26796040,PMC4940329,Adeno-associated virus (AAV) vectors in cancer gene therapy.,2016,J Control Release,10.1016/j.jconrel.2016.01.001,"['Jorge L Santiago-Ortiz', 'David V Schaffer']","['AAV', 'Adeno-associated virus', 'Cancer', 'Gene delivery', 'Gene delivery vectors', 'Gene therapy']","Gene delivery vectors based on adeno-associated virus (AAV) have been utilized in a large number of gene therapy clinical trials, which have demonstrated their strong safety profile and increasingly their therapeutic efficacy for treating monogenic diseases. For cancer applications, AAV vectors have been harnessed for delivery of an extensive repertoire of transgenes to preclinical models and, more recently, clinical trials involving certain cancers. This review describes the applications of AAV vectors to cancer models and presents developments in vector engineering and payload design aimed at tailoring AAV vectors for transduction and treatment of cancer cells. We also discuss the current status of AAV clinical development in oncology and future directions for AAV in this field."
29985340,PMC6101694,A Quantitative Dot Blot Assay for AAV Titration and Its Use for Functional Assessment of the Adeno-associated Virus Assembly-activating Proteins.,2018,J Vis Exp,10.3791/56766,"['John M Powers', 'Xiao Lan Chang', 'Zhen Song', 'Hiroyuki Nakai']",[],"While adeno-associated virus (AAV) is widely accepted as an attractive vector for gene therapy, it also serves as a model virus for understanding virus biology. In the latter respect, the recent discovery of a non-structural AAV protein, termed assembly-activating protein (AAP), has shed new light on the processes involved in assembly of the viral capsid VP proteins into a capsid. Although many AAV serotypes require AAP for assembly, we have recently reported that AAV4, 5, and 11 are exceptions to this rule. Furthermore, we demonstrated that AAPs and assembled capsids of different serotypes localize to different subcellular compartments. This unexpected heterogeneity in the biological properties and functional roles of AAPs among different AAV serotypes underscores the importance of studies on AAPs derived from diverse serotypes. This manuscript details a straightforward dot blot assay for AAV quantitation and its application to assess AAP dependency and serotype specificity in capsid assembly. To demonstrate the utility of this dot blot assay, we set out to characterize capsid assembly and AAP dependency of Snake AAV, a previously uncharacterized reptile AAV, as well as AAV5 and AAV9, which have previously been shown to be AAP-independent and AAP-dependent serotypes, respectively. The assay revealed that Snake AAV capsid assembly requires Snake AAP and cannot be promoted by AAPs from AAV5 and AAV9. The assay also showed that, unlike many of the common serotype AAPs that promote heterologous capsid assembly by cross-complementation, Snake AAP does not promote assembly of AAV9 capsids. In addition, we show that the choice of nuclease significantly affects the readout of the dot blot assay, and thus, choosing an optimal enzyme is critical for successful assessment of AAV titers."
29581310,PMC5899473,Adeno-associated virus Rep proteins antagonize phosphatase PP1 to counteract KAP1 repression of the latent viral genome.,2018,Proc Natl Acad Sci U S A,10.1073/pnas.1721883115,"['Sarah Smith-Moore', 'Stuart J D Neil', 'Cornel Fraefel', 'R Michael Linden', 'Mathieu Bollen', 'Helen M Rowe', 'Els Henckaerts']","['KAP1', 'PP1-NIPP1', 'Rep', 'adeno-associated virus', 'latency']",Adeno-associated virus (AAV) is a small human 
28768875,PMC5625497,Relevance of Assembly-Activating Protein for Adeno-associated Virus Vector Production and Capsid Protein Stability in Mammalian and Insect Cells.,2017,J Virol,10.1128/JVI.01198-17,"['Stefanie Grosse', 'Magalie Penaud-Budloo', 'Anne-Kathrin Herrmann', 'Kathleen Börner', 'Julia Fakhiri', 'Vibor Laketa', 'Chiara Krämer', 'Ellen Wiedtke', 'Manuel Gunkel', 'Lucie Ménard', 'Eduard Ayuso', 'Dirk Grimm']","['AAP', 'AAV', 'adeno-associated virus', 'assembly-activating protein', 'capsid assembly', 'parvovirus']","The discovery that adeno-associated virus 2 (AAV2) encodes an eighth protein, called assembly-activating protein (AAP), transformed our understanding of wild-type AAV biology. Concurrently, it raised questions about the role of AAP during production of recombinant vectors based on natural or molecularly engineered AAV capsids. Here, we show that AAP is indeed essential for generation of functional recombinant AAV2 vectors in both mammalian and insect cell-based vector production systems. Surprisingly, we observed that AAV2 capsid proteins VP1 to -3 are unstable in the absence of AAP2, likely due to rapid proteasomal degradation. Inhibition of the proteasome led to an increase of intracellular VP1 to -3 but neither triggered assembly of functional capsids nor promoted nuclear localization of the capsid proteins. Together, this underscores the crucial and unique role of AAP in the AAV life cycle, where it rapidly chaperones capsid assembly, thus preventing degradation of free capsid proteins. An expanded analysis comprising nine alternative AAV serotypes (1, 3 to 9, and rh10) showed that vector production always depends on the presence of AAP, with the exceptions of AAV4 and AAV5, which exhibited AAP-independent, albeit low-level, particle assembly. Interestingly, AAPs from all 10 serotypes could cross-complement AAP-depleted helper plasmids during vector production, despite there being distinct intracellular AAP localization patterns. These were most pronounced for AAP4 and AAP5, congruent with their inability to rescue an AAV2/AAP2 knockout. We conclude that AAP is key for assembly of genuine capsids from at least 10 different AAV serotypes, which has implications for vectors derived from wild-type or synthetic AAV capsids."
25615882,,Retinal gene delivery by adeno-associated virus (AAV) vectors: Strategies and applications.,2015,Eur J Pharm Biopharm,10.1016/j.ejpb.2015.01.009,"['Christian Schön', 'Martin Biel', 'Stylianos Michalakis']","['AAV capsid', 'AAV genome', 'Adeno-associated virus', 'Gene therapy', 'Intravitreal injection', 'Retina', 'Subretinal injection']","Adeno-associated virus (AAV) vectors are the most widely used vehicle systems for neuronal gene transfer. This popularity is based on the non-pathogenic nature of AAVs and their versatility making them a multifunctional vector system for basic research and clinical applications. AAVs are successfully applied in clinical and pre-clinical gene therapy studies for inherited retinal disorders. Their excellent transduction profile and efficiency also boosted the use of AAV vectors in basic research. The AAV vector system can be easily modified and adjusted at multiple levels to allow for optimized and specific gene expression in target cells. Here, we will provide an overview on the AAV vector system and its applications focusing on gene transfer into retinal cells. Furthermore, we will outline and discuss strategies for the optimization of AAV gene transfer by modifications to the AAV vector expression cassette, the AAV capsid or the routes of vector administration. "
