PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
31820492,PMC6946865,Epigenetics/epigenomics and prevention by curcumin of early stages of inflammatory-driven colon cancer.,2019,Mol Carcinog,10.1002/mc.23146,"['Renyi Wu', 'Lujing Wang', 'Ran Yin', 'Rasika Hudlikar', 'Shanyi Li', 'Hsiao-Chen D Kuo', 'Rebecca Peter', 'Davit Sargsyan', 'Yue Guo', 'Xia Liu', 'A N Kong']","['colon cancer', 'curcumin', 'epigenetics', 'inflammation']","Colorectal cancer (CRC) is associated with significant morbidity and mortality in the US and worldwide. CRC is the second most common cancer-related death in both men and women globally. Chronic inflammation has been identified as one of the major risk factors of CRC. It may drive genetic and epigenetic/epigenomic alterations, such as DNA methylation, histone modification, and non-coding RNA regulation. Current prevention modalities for CRC are limited and some treatment regimens such as use the nonsteroidal anti-inflammatory drug aspirin may have severe side effects, namely gastrointestinal ulceration and bleeding. Therefore, there is an urgent need of developing alternative strategies. Recently, increasing evidence suggests that several dietary cancer chemopreventive phytochemicals possess anti-inflammation and antioxidative stress activities, and may prevent cancers including CRC. Curcumin (CUR) is the yellow pigment that is found in the rhizomes of turmeric (Curcuma longa). Many studies have demonstrated that CUR exhibit strong anticancer, antioxidative stress, and anti-inflammatory activities by regulating signaling pathways, such as nuclear factor erythroid-2-related factor 2, nuclear factor-κB, and epigenetics/epigenomics pathways of histones modifications, and DNA methylation. In this review, we will discuss the latest evidence in epigenetics/epigenomics alterations by CUR in CRC and their potential contribution in the prevention of CRC."
30237160,PMC6463748,Epigenetics and Epigenomics: Implications for Diabetes and Obesity.,2018,Diabetes,10.2337/db18-0537,"['Evan D Rosen', 'Klaus H Kaestner', 'Rama Natarajan', 'Mary-Elizabeth Patti', 'Richard Sallari', 'Maike Sander', 'Katalin Susztak']",[],"The American Diabetes Association convened a research symposium, ""Epigenetics and Epigenomics: Implications for Diabetes and Obesity"" on 17-19 November 2017. International experts in genetics, epigenetics, computational biology, and physiology discussed the current state of understanding of the relationships between genetics, epigenetics, and environment in diabetes and examined existing evidence for the role of epigenetic factors in regulating metabolism and the risk of diabetes and its complications. The authors summarize the presentations, which highlight how the complex interactions between genes and environment may in part be mediated through epigenetic changes and how information about nutritional and other environmental stimuli can be transmitted to the next generation. In addition, the authors present expert consensus on knowledge gaps and research recommendations for the field."
29356846,,Epigenetics and Epigenomics of Plants.,2018,Adv Biochem Eng Biotechnol,10.1007/10_2017_51,"['Chandra Bhan Yadav', 'Garima Pandey', 'Mehanathan Muthamilarasan', 'Manoj Prasad']","['Chromatin modification', 'Crop improvement', 'DNA methylation', 'Epigenetics', 'Epigenomics']","The genetic material DNA in association with histone proteins forms the complex structure called chromatin, which is prone to undergo modification through certain epigenetic mechanisms including cytosine DNA methylation, histone modifications, and small RNA-mediated methylation. Alterations in chromatin structure lead to inaccessibility of genomic DNA to various regulatory proteins such as transcription factors, which eventually modulates gene expression. Advancements in high-throughput sequencing technologies have provided the opportunity to study the epigenetic mechanisms at genome-wide levels. Epigenomic studies using high-throughput technologies will widen the understanding of mechanisms as well as functions of regulatory pathways in plant genomes, which will further help in manipulating these pathways using genetic and biochemical approaches. This technology could be a potential research tool for displaying the systematic associations of genetic and epigenetic variations, especially in terms of cytosine methylation onto the genomic region in a specific cell or tissue. A comprehensive study of plant populations to correlate genotype to epigenotype and to phenotype, and also the study of methyl quantitative trait loci (QTL) or epiGWAS, is possible by using high-throughput sequencing methods, which will further accelerate molecular breeding programs for crop improvement. Graphical Abstract."
29356846,,Epigenetics and Epigenomics of Plants.,2018,Adv Biochem Eng Biotechnol,10.1007/10_2017_51,"['Chandra Bhan Yadav', 'Garima Pandey', 'Mehanathan Muthamilarasan', 'Manoj Prasad']","['Chromatin modification', 'Crop improvement', 'DNA methylation', 'Epigenetics', 'Epigenomics']","The genetic material DNA in association with histone proteins forms the complex structure called chromatin, which is prone to undergo modification through certain epigenetic mechanisms including cytosine DNA methylation, histone modifications, and small RNA-mediated methylation. Alterations in chromatin structure lead to inaccessibility of genomic DNA to various regulatory proteins such as transcription factors, which eventually modulates gene expression. Advancements in high-throughput sequencing technologies have provided the opportunity to study the epigenetic mechanisms at genome-wide levels. Epigenomic studies using high-throughput technologies will widen the understanding of mechanisms as well as functions of regulatory pathways in plant genomes, which will further help in manipulating these pathways using genetic and biochemical approaches. This technology could be a potential research tool for displaying the systematic associations of genetic and epigenetic variations, especially in terms of cytosine methylation onto the genomic region in a specific cell or tissue. A comprehensive study of plant populations to correlate genotype to epigenotype and to phenotype, and also the study of methyl quantitative trait loci (QTL) or epiGWAS, is possible by using high-throughput sequencing methods, which will further accelerate molecular breeding programs for crop improvement. Graphical Abstract."
29268765,PMC5738715,From forensic epigenetics to forensic epigenomics: broadening DNA investigative intelligence.,2017,Genome Biol,10.1186/s13059-017-1373-1,"['Athina Vidaki', 'Manfred Kayser']",[],"Human genetic variation is a major resource in forensics, but does not allow all forensically relevant questions to be answered. Some questions may instead be addressable via epigenomics, as the epigenome acts as an interphase between the fixed genome and the dynamic environment. We envision future forensic applications of DNA methylation analysis that will broaden DNA-based forensic intelligence. Together with genetic prediction of appearance and biogeographic ancestry, epigenomic lifestyle prediction is expected to increase the ability of police to find unknown perpetrators of crime who are not identifiable using current forensic DNA profiling."
30178255,,Challenges and Opportunities in Social Epigenomics and Cancer.,2019,Methods Mol Biol,10.1007/978-1-4939-8751-1_13,"['Krishna Banaudha', 'Vineet Kumar', 'Mukesh Verma']","['Chromatin', 'Epigenetics', 'Health disparity', 'Methylation', 'Social epigenomics']","Social epigenomics is an area of science that evaluates why and how different social factors and processes affect different components of the epigenome. As it happens with most of the new areas in science, social epigenetics being a relatively new area, only limited progress has been made. However, the potential of implicating social epigenomics in improving health and health related policies is tremendous. Epidemiologic studies evaluating social, behavior, family, and environmental factors have helped understand social inequality and develop the area of social epigenomics. Most of the information in social epidemiology has been gathered from genetic studies. Now the time has come that we may apply similar approaches in social epigenomics because technologies of determining methylation, histone, and noncoding RNA profiling are well developed. The focus of this chapter is to understand the role of epigenetic regulation in social experiences at various stages in life due to altered function of genes and affecting health in populations with different races/ethnicity. Here we discuss the current challenges and opportunities in the field."
28530839,,"Meeting Report of the Fifth International Cancer Epigenetics Conference in Beijing, China, October 2016.",2017,Epigenomics,10.2217/epi-2017-0030,"['Dan Gao', 'James G Herman', 'Hengmi Cui', 'Jin Jen', 'Francois Fuks', 'Malcolm V Brock', 'Toshikazu Ushijima', 'Carlo Croce', 'Yoshimitsu Akiyama', 'Mingzhou Guo']","['5hmc', 'DNA methylation', 'RNA methylation', 'histone modification', 'imprinting', 'noncoding RNA']","Fifth International Cancer Epigenetics Conference, Beijing, China, 21-23 October 2016 This meeting reported many new findings in the field of cancer epigenetics, including basic science, translational and clinical studies. In this report, we summarize some of the main advancements and prospects in cancer epigenetics presented at this meeting."
28530839,,"Meeting Report of the Fifth International Cancer Epigenetics Conference in Beijing, China, October 2016.",2017,Epigenomics,10.2217/epi-2017-0030,"['Dan Gao', 'James G Herman', 'Hengmi Cui', 'Jin Jen', 'Francois Fuks', 'Malcolm V Brock', 'Toshikazu Ushijima', 'Carlo Croce', 'Yoshimitsu Akiyama', 'Mingzhou Guo']","['5hmc', 'DNA methylation', 'RNA methylation', 'histone modification', 'imprinting', 'noncoding RNA']","Fifth International Cancer Epigenetics Conference, Beijing, China, 21-23 October 2016 This meeting reported many new findings in the field of cancer epigenetics, including basic science, translational and clinical studies. In this report, we summarize some of the main advancements and prospects in cancer epigenetics presented at this meeting."
28322578,,Interview with Amr H Sawalha: epigenetics and autoimmunity.,2017,Epigenomics,10.2217/epi-2017-0005,['Amr H Sawalha'],"['DNA methylation', 'EZH2', 'IFI44L', 'autoimmunity', 'biomarker', 'epigenetics', 'epigenomics', 'lupus', 'therapeutic']","Amr H Sawalha is Professor of Internal Medicine and Marvin and Betty Danto Research Professor of Connective Tissue Research at the University of Michigan, Department of Internal Medicine, Division of Rheumatology. He also holds faculty appointments at the Center for Computational Medicine and Bioinformatics and the Graduate Program in Immunology at the University of Michigan. He was recently appointed as Guest Professor at Central South University in Changsha, China. He received his medical degree from Jordan University of Science and Technology and completed his residency training in internal medicine at the University of Oklahoma Health Sciences Center, and his fellowship in rheumatology at the University of Michigan. His research focus is the genetics and epigenetics of complex autoimmune and inflammatory diseases, including lupus and systemic vasculitis. He has authored over 100 peer-reviewed manuscripts, book chapters and review articles, and is on the editorial board of several journals in his field. He has been elected as a member of the American Society for Clinical Investigation, and has received numerous awards, including the Edmund L Dubois, MD, Memorial Lectureship Award from the American College of Rheumatology in recognition for his work in lupus. He is Chair of the Lupus Foundation of America research subcommittee and is a member of the Vasculitis Foundation Medical and Scientific Advisory Board. He also provides clinical care and teaching in the rheumatology outpatient and inpatient services, and he is the director of the NIH-funded rheumatology training grant at the University of Michigan."
31366289,PMC6801799,"Epigenetics, ethics, law and society: A multidisciplinary review of descriptive, instrumental, dialectical and reflexive analyses.",2019,Soc Stud Sci,10.1177/0306312719866007,"['Charles Dupras', 'Katie Michelle Saulnier', 'Yann Joly']","['ELSI', 'biologization', 'discrimination', 'epigenetics', 'knowledge translation', 'nature versus nurture', 'privacy', 'reproduction', 'responsibility and justice']","Epigenetics, defined as 'the study of mitotically and/or meiotically heritable changes in gene function that cannot be explained by changes in DNA sequence', has emerged as a promissory yet controversial field of scientific inquiry over the past decade. Scholars from many disciplines have formulated both optimistic and cautionary claims regarding its potential normative implications. This article provides a comprehensive review of the nascent literature at the crossroads of epigenetics, ethics, law and society. It describes nine emerging areas of discussion, relating to (1) the impact of epigenetics on the nature versus nurture dualism, (2) the potential resulting biologization of the social, (3) the meaning of epigenetics for public health, its potential influence on (4) reproduction and parenting, (5) political theory and (6) legal proceedings, and concerns regarding (7) stigmatization and discrimination, (8) privacy protection and (9) knowledge translation. While there is some degree of similarity between the nature and content of these areas and the abundant literature on ethical, legal and social issues in genetics, the potential implications of epigenetics ought not be conflated with the latter. Critical studies on epigenetics are emerging within a separate space of bioethical and biopolitical investigations and claims, with scholars from various epistemological standpoints utilizing distinct yet complementary analytical approaches."
31713163,,Pharmaco-epigenomics: On the Road of Translation Medicine.,2019,Adv Exp Med Biol,10.1007/978-3-030-24100-1_3,"['César López-Camarillo', 'Dolores Gallardo-Rincón', 'María Elizbeth Álvarez-Sánchez', 'Laurence A Marchat']","['Breast cancer', 'Cervical cancer', 'DNA methylation', 'Epigenetic biomarkers', 'Epigenetic marks', 'Epigenetic therapies', 'Epigenomics', 'Histone acetylation', 'Histone modifications', 'Non-coding RNAs']","Epigenomics refers to the study of genome-wide changes in epigenetic mechanisms including DNA methylation, histone modifications and non-coding RNAs expression. The alterations in normal DNA methylation and histone acetylation/deacetylation patterns lead to deregulated transcription and chromatin organization resulting in altered gene expression profiles that facilitates tumor development and progression. In consequence, novel therapeutic strategies aimed at reversing aberrant epigenetic marks in cancer cells have been developed and used in recent molecular studies and clinical trials. Pharmaco-epigenomics is a research area, which refers to the study of epigenome changes in cancer development and how chemotherapeutic agents can reverse these aberrant epigenetic marks by targeting the epigenetic machinery. Besides, the effects of genome-wide polymorphisms in populations leading to variations in drug response are also study subject of pharmaco-epigenomics and are being studied extensively in cancer. Recent findings showed that drug response could be largely influenced by the presence of aberrant epigenetic marks of the whole genome. This implies that biological pathways and cellular processes are under the impact of epigenome status. However, data about the relationship between drug response and the epigenomic variations is still scarce mainly because the epigenome is highly variable between individuals. The present chapter reviewed the advances on the epigenetics changes mainly DNA methylation and histones modifications on cervical and breast human cancers. A special emphasis in how they could be used as targets for the development and use of novel drugs in cancer therapy is delineated."
26505319,,The role of epigenetics in genetic and environmental epidemiology.,2015,Epigenomics,10.2217/epi.15.102,"['Christine Ladd-Acosta', 'M Daniele Fallin']","['environmental epidemiology', 'epidemiology', 'epigenomics', 'genetic epidemiology', 'genomics']","Epidemiology is the branch of science that investigates the causes and distribution of disease in populations in order to provide preventative measures and promote human health. The fields of genetic and environmental epidemiology primarily seek to identify genetic and environmental risk factors for disease, respectively. Epigenetics is emerging as an important piece of molecular data to include in these studies because it can provide mechanistic insights into genetic and environmental risk factors for disease, identify potential intervention targets, provide biomarkers of exposure, illuminate gene-environment interactions and help localize disease-relevant genomic regions. Here, we describe the importance of including epigenetics in genetic and environmental epidemiology studies, provide a conceptual framework when considering epigenetic data in population-based studies and touch upon the many challenges that lie ahead. "
