PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
28692018,PMC7094717,"The state of gene therapy research in Africa, its significance and implications for the future.",2017,Gene Ther,10.1038/gt.2017.57,"['P Arbuthnot', 'M B Maepa', 'A Ely', 'M S Pepper']",[],"Gene therapy has made impressive recent progress and has potential for treating a wide range of diseases, many of which are important to Africa. However, as a result of lack of direct public funding and skilled personnel, direct research on gene therapy in Africa is currently limited and resources to support the endeavor are modest. A strength of the technology is that it is based on principles of rational design, and the tools of gene therapy are now highly versatile. For example gene silencing and gene editing may be used to disable viral genes for therapeutic purposes. Gene therapy may thus lead to cure from infections with HIV-1, hepatitis B virus and Ebola virus, which are of significant public health importance in Africa. Although enthusiasm for gene therapy is justified, significant challenges to implementing the technology remain. These include ensuring efficient delivery of therapeutic nucleic acids to target cells, limiting unintended effects, cost and complexity of treatment regimens. In addition, implementation of effective legislation that will govern gene therapy research will be a challenge. Nevertheless, it is an exciting prospect that gene therapy should soon reach the mainstream of medical management. Participation of African researchers in the exciting developments is currently limited, but their involvement is important to address health problems, develop capacity and enhance economic progress of the continent."
31845133,,The Horizon of Gene Therapy in Modern Medicine: Advances and Challenges.,2020,Adv Exp Med Biol,10.1007/5584_2019_463,"['Babak Arjmand', 'Bagher Larijani', 'Motahareh Sheikh Hosseini', 'Moloud Payab', 'Kambiz Gilany', 'Parisa Goodarzi', 'Peyvand Parhizkar Roudsari', 'Mobina Amanollahi Baharvand', 'Negin Sadat Hoseini Mohammadi']","['Biosafety', 'Challenges', 'Ethics', 'GMP facilities', 'Genes', 'Genetic diseases', 'Genetic vectors', 'Therapeutic uses']","Gene therapy as a novel study in molecular medicine will have a significant impact on human health in the near future. In recent years, the scope of gene therapy has been developed and is now beginning to revolutionize therapeutic approaches. Accordingly, many types of diseases are now being studied and treated in clinical trials through various gene delivery vectors. The emergence of recombinant DNA technology which provides the possibility of fetal genetic screening and genetic counseling is a good case in point. Therefore, gene therapy advances are being applied to correct inherited genetic disorders such as hemophilia, cystic fibrosis, and familial hypercholesterolemia as well as acquired diseases like cancer, AIDS, Alzheimer's disease, Parkinson's disease, and infectious diseases like HIV. As a result, gene therapy approaches have the ability to help the vast majority of newborns with different diseases. Since these ongoing treatments and clinical trials are being developed, many more barriers and challenges have been created. In order to continue this positive growth, these challenges need to be recognized and addressed. Accordingly, safety, efficiency and also risks and benefits of gene therapy trials for each disease should be considered. As a result, sustained manufacturing of the therapeutic gene product without any harmful side effects is the least requirement for gene therapy. Herein, different aspects of gene therapy, an overview of the progress, and also the prospects for the future have been discussed for the successful practice of gene therapy."
31749423,,A Review of Gene Therapy Delivery Systems for Intervertebral Disc Degeneration.,2020,Curr Pharm Biotechnol,10.2174/1389201020666191024171618,"['Songfeng Chen', 'Ming Luo', 'Hongwei Kou', 'Guowei Shang', 'Yanhui Ji', 'Hongjian Liu']","['Delivery system', 'gene therapy', 'intervertebral disc degeneration', 'non-viral vector', 'nucleus pulposus', 'viral vector.']","Intervertebral Disc (IVD) degeneration is a major public health concern, and gene therapy seems a promising approach to delay or even reverse IVD degeneration. However, the delivery system used to transfer exogenous genes into intervertebral disc cells remains a challenge."
31543414,PMC6904805,Fetal Gene Therapy Using a Single Injection of Recombinant AAV9 Rescued SMA Phenotype in Mice.,2019,Mol Ther,10.1016/j.ymthe.2019.08.017,"['Afrooz Rashnonejad', 'Gholamhossein Amini Chermahini', 'Cumhur Gündüz', 'Hüseyin Onay', 'Ayça Aykut', 'Burak Durmaz', 'Meral Baka', 'Qin Su', 'Guangping Gao', 'Ferda Özkınay']","['AAV', 'SMA', 'SMN', 'embryo', 'fetal gene therapy', 'genetic disorders', 'in utero gene therapy', 'intracerebroventricular injection', 'mouse', 'muscle atrophy']","Symptoms of spinal muscular atrophy (SMA) disease typically begin in the late prenatal or the early postnatal period of life. The intrauterine (IU) correction of gene expression, fetal gene therapy, could offer effective gene therapy approach for early onset diseases. Hence, the overall goal of this study was to investigate the efficacy of human survival motor neuron (hSMN) gene expression after IU delivery in SMA mouse embryos. First, we found that IU-intracerebroventricular (i.c.v.) injection of adeno-associated virus serotype-9 (AAV9)-EGFP led to extensive expression of EGFP protein in different parts of the CNS with a great number of transduced neural stem cells. Then, to implement the fetal gene therapy, mouse fetuses received a single i.c.v. injection of a single-stranded (ss) or self-complementary (sc) AAV9-SMN vector that led to a lifespan of 93 (median of 63) or 171 (median 105) days for SMA mice. The muscle pathology and number of the motor neurons also improved in both study groups, with slightly better results coming from scAAV treatment. Consequently, fetal gene therapy may provide an alternative therapeutic approach for treating inherited diseases such as SMA that lead to prenatal death or lifelong irreversible damage."
31806531,,Cell and gene therapy manufacturing capabilities in Australia and New Zealand.,2019,Cytotherapy,10.1016/j.jcyt.2019.10.010,"[""Gabrielle M O'Sullivan"", 'Zlatibor M Velickovic', 'Michelle W Keir', 'Janet L Macpherson', 'John E J Rasko']","['Good Manufacturing Practice', 'cell therapy', 'gene therapy', 'manufacturing', 'regenerative medicine']","Cell and gene therapy products are rapidly being integrated into mainstream medicine. Developing global capability will facilitate broad access to these novel therapeutics. An initial step toward achieving this goal is to understand cell and gene therapy manufacturing capability in each region. We conducted an academic survey in 2018 to assess cell and gene therapy manufacturing capacity in Australia and New Zealand. We examined the following: the number and types of cell therapy manufacturing facilities; the number of projects, parallel processes and clinical trials; the types of products; and the manufacturing and quality staffing levels. It was found that Australia and New Zealand provide diverse facilities for cell therapy manufacturing, infrastructure and capability. Further investment and development will enable both countries to make important decisions to meet the growing need for cell and gene therapy and regenerative medicine in the region."
31322165,,Gene therapy of hemoglobinopathies: progress and future challenges.,2020,Hum Mol Genet,10.1093/hmg/ddz172,"['Yasuhiro Ikawa', 'Annarita Miccio', 'Elisa Magrin', 'Janet L Kwiatkowski', 'Stefano Rivella', 'Marina Cavazzana']",[],"Recently, gene therapy clinical trials have been successfully applied to hemoglobinopathies, such as sickle cell disease (SCD) and β-thalassemia. Among the great discoveries that led to the design of genetic approaches to cure these disorders is the discovery of the β-globin locus control region and several associated transcription factors, which determine hemoglobin switching as well as high-level, erythroid-specific expression of genes at the ß-globin locus. Moreover, increasing evidence shows that lentiviral vectors are efficient tools to insert large DNA elements into nondividing hematopoietic stem cells, showing reassuring safe integration profiles. Alternatively, genome editing could restore expression of fetal hemoglobin or target specific mutations to restore expression of the wild-type β-globin gene. The most recent clinical trials for β-thalassemia and SCD are showing promising outcomes: patients were able to discontinue transfusions or had reduced transfusion requirements. However, toxic myeloablation and the high cost of current ex vivo hematopoietic stem cell gene therapy platforms represent a barrier to a widespread application of these approaches. In this review, we summarize these gene therapy strategies and ongoing clinical trials. Finally, we discuss possible strategies to improve outcomes, reduce myeloablative regimens and future challenges to reduce the cost of gene therapy platform."
30700149,,Innovative Curative Treatment of Beta Thalassemia: Cost-Efficacy Analysis of Gene Therapy Versus Allogenic Hematopoietic Stem-Cell Transplantation.,2019,Hum Gene Ther,10.1089/hum.2018.178,"['Séverine Coquerelle', 'Mariem Ghardallou', 'Setti Rais', 'Pierre Taupin', 'Fabien Touzot', 'Laure Boquet', 'Stéphane Blanche', 'Semir Benaouadi', 'Thomas Brice', 'Caroline Tuchmann-Durand', 'Jean Antoine Ribeil', 'Elisa Magrin', 'Etienne Lissillour', 'Lise Rochaix', 'Marina Cavazzana', 'Isabelle Durand-Zaleski']","['HSCT', 'beta thalassemia', 'cost-efficacy analysis', 'gene therapy']","Seventy-five percent of patients with beta thalassemia (β-thalassemia) do not have human leukocyte antigen-matched siblings and until recently had no access to a curative treatment. Gene therapy is a promising treatment that can be proposed to these patients. This study estimates its cost and efficacy. In a monocentric retrospective study and cost-efficacy analysis, this study compared the two-year outcomes and costs of patients with β-thalassemia treated by gene therapy and hematopoietic stem-cell transplantation (HSCT). Grade III and grade IV complications, hospitalizations, and length of stay were extracted from the hospital discharge data. Costs were estimated from hospital accounting information and national cost studies. A total of seven patients with β-thalassemia treated between 2009 and 2016 were included, of whom four received gene therapy. Patients treated by gene therapy were older and had fewer complications and hospital admissions. Infectious complications were three times more frequent for patients treated with HSCT than for gene therapy. Average costs were €608,086 for patients treated by gene therapy and €215,571 for HSCT. The total cost of the vector was 48% of the total cost of gene therapy. Gene therapy as a curative alternative for patients lacking human leukocyte antigen-matched donors was costlier but resulted in fewer complications than HSCT."
31705854,PMC7050335,Mouse models in hematopoietic stem cell gene therapy and genome editing.,2019,Biochem Pharmacol,10.1016/j.bcp.2019.113692,"['Stefan Radtke', 'Olivier Humbert', 'Hans-Peter Kiem']","['Gene therapy', 'Hematopoiesis', 'Mouse models', 'Stem cells', 'Transplantation']","Gene therapy has become an important treatment option for a variety of hematological diseases. The biggest advances have been made with CAR T cells and many of those studies are now FDA approved as a routine treatment for some hematologic malignancies. Hematopoietic stem cell (HSC) gene therapy is not far behind with treatment approvals granted for beta-hemoglobinopathies and adenosine deaminase severe combined immune deficiency (ADA-SCID), and additional approbations currently being sought. With the current pace of research, the significant investment of biotech companies, and the continuously growing toolbox of viral as well as non-viral gene delivery methods, the development of new ex vivo and in vivo gene therapy approaches is at an all-time high. Research in the field of gene therapy has been ongoing for more than 4 decades with big success stories as well as devastating drawbacks along the way. In particular, the damaging effect of uncontrolled viral vector integration observed in the initial gene therapy applications in the 90s led to a more comprehensive upfront safety assessment of treatment strategies. Since the late 90s, an important read-out to comprehensively assess the quality and safety of cell products has come forward with the mouse xenograft model. Here, we review the use of mouse models across the different stages of basic, pre-clinical and translational research towards the clinical application of HSC-mediated gene therapy and editing approaches."
30547692,PMC6312046,Traditional Approaches for Company Valuation Are Flawed for Valuing In Vivo Gene Therapy Companies.,2018,Hum Gene Ther Clin Dev,10.1089/humc.2018.29037.gam,"['Gbolahan Amusa', 'Taylor Feehley', 'J Kipchirchir Bitok', 'Geulah Livshits', 'Natalya Gertsik']","['company valuation', 'gene therapy', 'shared value', 'stock prices', 'sustainability']","The era of gene therapy has begun. In recent years, potentially breakthrough datasets and rapidly expanding company pipelines have begun to overshadow the unfulfilled promise characteristic of the gene therapy sector in decades prior. One barometer for progress in the space can be seen in stock markets, where NASDAQ-listed in vivo gene therapy companies we follow have increased from 4 companies with $1.9 billion in market capitalization on January 31, 2014, to 24 companies with $30.5 billion in market capitalization on October 31, 2018. For many in the financial community, a tangible signal for the emergence of the broader gene therapy space is the recent notable mergers and acquisitions activity, a signal that previously heralded the arrival of blockbuster biotechnologies like monoclonal antibodies. Notably, Novartis' $8.7 billion acquisition of in vivo adeno-associated virus 9-based gene therapy player, AveXis, earlier this year has focused many on looking for new investment opportunities in the space, thereby increasing interest in the valuation of gene therapy companies. This perspective discusses the theoretical underpinnings of company valuation and explains why traditional approaches have limitations when valuing in vivo gene therapy companies, which produce single treatments that may achieve durable or curative benefits. We use the AveXis case study to illustrate certain points on the valuation of breakthrough innovation that we think have broader applicability throughout the in vivo gene therapy space. This publication is the first in a three-part series. Future discussions in this series on in vivo gene therapy companies will explore real-world approaches and considerations that have already proven successful in mitigating the limitations of traditional valuation approaches as well as those that may soon emerge."
30345694,,"Gene therapy and the adeno-associated virus in the treatment of genetic and acquired ophthalmic diseases in humans: Trials, future directions and safety considerations.",2019,Clin Exp Ophthalmol,10.1111/ceo.13416,"['Charmaine A Ramlogan-Steel', 'Aparna Murali', 'Slawomir Andrzejewski', 'Bijay Dhungel', 'Jason C Steel', 'Christopher J Layton']","['age-related macular degeneration', 'drug trial', 'gene expression', 'gene therapy', 'molecular genetics']","Voretigene neparvovec-rzyl was recently approved for the treatment of Leber congenital amaurosis, and the use of gene therapy for eye disease is attracting even greater interest. The eye has immune privileged status, is easily accessible, requires a reduced dosage of therapy due to its size and is highly compartmentalized, significantly reducing systemic spread. Adeno-associated virus (AAV), with its low pathogenicity, prolonged expression profile and ability to transduce multiple cell types, has become the leading gene therapy vector. Target diseases have moved beyond currently untreatable inherited dystrophies to common, partially treatable acquired conditions such as exudative age-related macular degeneration and glaucoma, but use of the technology in these conditions imposes added obligations for caution in vector design. This review discusses the current status of AAV gene therapy trials in genetic and acquired ocular diseases, and explores new scientific developments, which could help ensure effective and safe use of the therapy in the future."
