PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
31243142,PMC6610458,Genome-driven cell engineering review: ,2019,Essays Biochem,10.1042/EBC20180045,"['Sophie Landon', 'Joshua Rees-Garbutt', 'Lucia Marucci', 'Claire Grierson']","['Genome Engineering', 'Metabolic Engineering', 'in-silico', 'metabolic models', 'whole-cell models']","Producing 'designer cells' with specific functions is potentially feasible in the near future. Recent developments, including whole-cell models, genome design algorithms and gene editing tools, have advanced the possibility of combining biological research and mathematical modelling to further understand and better design cellular processes. In this review, we will explore computational and experimental approaches used for metabolic and genome design. We will highlight the relevance of modelling in this process, and challenges associated with the generation of quantitative predictions about cell behaviour as a whole: although many cellular processes are well understood at the subsystem level, it has proved a hugely complex task to integrate separate components together to model and study an entire cell. We explore these developments, highlighting where computational design algorithms compensate for missing cellular information and underlining where computational models can complement and reduce lab experimentation. We will examine issues and illuminate the next steps for genome engineering."
30465231,,Whole genome engineering by synthesis.,2018,Sci China Life Sci,10.1007/s11427-018-9403-y,"['Zhouqing Luo', 'Qing Yang', 'Binan Geng', 'Shuangying Jiang', 'Shihui Yang', 'Xiaozheng Li', 'Yizhi Cai', 'Junbiao Dai']","['functional genomics', 'genome design', 'genome engineering', 'synthetic biology', 'synthetic genome']","Whole genome engineering is now feasible with the aid of genome editing and synthesis tools. Synthesizing a genome from scratch allows modifications of the genomic structure and function to an extent that was hitherto not possible, which will finally lead to new insights into the basic principles of life and enable valuable applications. With several recent genome synthesis projects as examples, the technical details to synthesize a genome and applications of synthetic genome are addressed in this perspective. A series of ongoing or future synthetic genomics projects, including the different genomes to be synthesized in GP-write, synthetic minimal genome, massively recoded genome, chimeric genome and synthetic genome with expanded genetic alphabet, are also discussed here with a special focus on theoretical and technical impediments in the design and synthesis process. Synthetic genomics will become a commonplace to engineer pathways and genomes according to arbitrary sets of design principles with the development of high-efficient, low-cost genome synthesis and assembly technologies."
31647102,PMC6868425,Characterization and repurposing of the endogenous Type I-F CRISPR-Cas system of Zymomonas mobilis for genome engineering.,2020,Nucleic Acids Res,10.1093/nar/gkz940,"['Yanli Zheng', 'Jiamei Han', 'Baiyang Wang', 'Xiaoyun Hu', 'Runxia Li', 'Wei Shen', 'Xiangdong Ma', 'Lixin Ma', 'Li Yi', 'Shihui Yang', 'Wenfang Peng']",[],"Application of CRISPR-based technologies in non-model microorganisms is currently very limited. Here, we reported efficient genome engineering of an important industrial microorganism, Zymomonas mobilis, by repurposing the endogenous Type I-F CRISPR-Cas system upon its functional characterization. This toolkit included a series of genome engineering plasmids, each carrying an artificial self-targeting CRISPR and a donor DNA for the recovery of recombinants. Through this toolkit, various genome engineering purposes were efficiently achieved, including knockout of ZMO0038 (100% efficiency), cas2/3 (100%), and a genomic fragment of >10 kb (50%), replacement of cas2/3 with mCherry gene (100%), in situ nucleotide substitution (100%) and His-tagging of ZMO0038 (100%), and multiplex gene deletion (18.75%) upon optimal donor size determination. Additionally, the Type I-F system was further applied for CRISPRi upon Cas2/3 depletion, which has been demonstrated to successfully silence the chromosomally integrated mCherry gene with its fluorescence intensity reduced by up to 88%. Moreover, we demonstrated that genome engineering efficiency could be improved under a restriction-modification (R-M) deficient background, suggesting the perturbance of genome editing by other co-existing DNA targeting modules such as the R-M system. This study might shed light on exploiting and improving CRISPR-Cas systems in other microorganisms for genome editing and metabolic engineering practices."
26453944,,Genome scale engineering techniques for metabolic engineering.,2015,Metab Eng,10.1016/j.ymben.2015.09.013,"['Rongming Liu', 'Marcelo C Bassalo', 'Ramsey I Zeitoun', 'Ryan T Gill']","['Design-Build-Test-Learn', 'Genome scale engineering', 'Metabolic engineering', 'Synthetic biology']","Metabolic engineering has expanded from a focus on designs requiring a small number of genetic modifications to increasingly complex designs driven by advances in genome-scale engineering technologies. Metabolic engineering has been generally defined by the use of iterative cycles of rational genome modifications, strain analysis and characterization, and a synthesis step that fuels additional hypothesis generation. This cycle mirrors the Design-Build-Test-Learn cycle followed throughout various engineering fields that has recently become a defining aspect of synthetic biology. This review will attempt to summarize recent genome-scale design, build, test, and learn technologies and relate their use to a range of metabolic engineering applications. "
31635159,PMC6835275,Genome Sequencing of ,2019,Mar Drugs,10.3390/md17100593,"['Chunyan Zhang', 'Wenjuan Ding', 'Xiangjing Qin', 'Jianhua Ju']","['gene disruption', 'genome mining', 'genome sequencing', 'lobophorin', 'metabolic engineering']",Marine-sourced actinomycete genus 
26058577,,CRISPR/Cas9-mediated genome engineering of CHO cell factories: Application and perspectives.,2015,Biotechnol J,10.1002/biot.201500082,"['Jae Seong Lee', 'Lise Marie Grav', 'Nathan E Lewis', 'Helene Faustrup Kildegaard']","['CRISPR/Cas9', 'Cell factories', 'Cell line engineering', 'Chinese hamster ovary cells', 'Genome editing']","Chinese hamster ovary (CHO) cells are the most widely used production host for therapeutic proteins. With the recent emergence of CHO genome sequences, CHO cell line engineering has taken on a new aspect through targeted genome editing. The bacterial clustered regularly interspaced short palindromic repeat (CRISPR)/CRISPR-associated protein 9 (Cas9) system enables rapid, easy and efficient engineering of mammalian genomes. It has a wide range of applications from modification of individual genes to genome-wide screening or regulation of genes. Facile genome editing using CRISPR/Cas9 empowers researchers in the CHO community to elucidate the mechanistic basis behind high level production of proteins and product quality attributes of interest. In this review, we describe the basis of CRISPR/Cas9-mediated genome editing and its application for development of next generation CHO cell factories while highlighting both future perspectives and challenges. As one of the main drivers for the CHO systems biology era, genome engineering with CRISPR/Cas9 will pave the way for rational design of CHO cell factories. "
31767004,PMC6876111,Efficient Cas9-based genome editing of Rhodobacter sphaeroides for metabolic engineering.,2019,Microb Cell Fact,10.1186/s12934-019-1255-1,"['Ioannis Mougiakos', 'Enrico Orsi', 'Mohammad Rifqi Ghiffary', 'Wilbert Post', 'Alberto de Maria', 'Belén Adiego-Perez', 'Servé W M Kengen', 'Ruud A Weusthuis', 'John van der Oost']","['Cas9', 'Genome editing', 'PHB', 'Rhodobacter sphaeroides']","Rhodobacter sphaeroides is a metabolically versatile bacterium that serves as a model for analysis of photosynthesis, hydrogen production and terpene biosynthesis. The elimination of by-products formation, such as poly-β-hydroxybutyrate (PHB), has been an important metabolic engineering target for R. sphaeroides. However, the lack of efficient markerless genome editing tools for R. sphaeroides is a bottleneck for fundamental studies and biotechnological exploitation. The Cas9 RNA-guided DNA-endonuclease from the type II CRISPR-Cas system of Streptococcus pyogenes (SpCas9) has been extensively employed for the development of genome engineering tools for prokaryotes and eukaryotes, but not for R. sphaeroides."
30887255,,Advances in engineered trans-acting regulatory RNAs and their application in bacterial genome engineering.,2019,J Ind Microbiol Biotechnol,10.1007/s10295-019-02160-y,"['Waqas Ahmed', 'Mian Abdul Hafeez', 'Rais Ahmed']","['Bacteria', 'Biotechnology', 'Genome engineering', 'sRNA']","Small noncoding RNAs, a large class of ancient posttranscriptional regulators, are increasingly recognized and utilized as key modulators of gene expression in a broad range of microorganisms. Owing to their small molecular size and the central role of Watson-Crick base pairing in defining their interactions, structure and function, numerous diverse types of trans-acting RNA regulators that are functional at the DNA, mRNA and protein levels have been experimentally characterized. It has become increasingly clear that most small RNAs play critical regulatory roles in many processes and are, therefore, considered to be powerful tools for genetic engineering and synthetic biology. The trans-acting regulatory RNAs accelerate this ability to establish potential framework for genetic engineering and genome-scale engineering, which allows RNA structure characterization, easier to design and model compared to DNA or protein-based systems. In this review, we summarize recent advances in engineered trans-acting regulatory RNAs that are used in bacterial genome-scale engineering and in novel cellular capabilities as well as their implementation in wide range of biotechnological, biological and medical applications."
31583448,,Combined genome editing and transcriptional repression for metabolic pathway engineering in Corynebacterium glutamicum using a catalytically active Cas12a.,2019,Appl Microbiol Biotechnol,10.1007/s00253-019-10118-4,"['Wei Liu', 'Dandan Tang', 'Haijiao Wang', 'Jiazhang Lian', 'Lei Huang', 'Zhinan Xu']","['CRISPR/Cas12a', 'Corynebacterium glutamicum', 'Cysteine production', 'Genome editing', 'Transcriptional repression']","Corynebacterium glutamicum is a versatile workhorse for producing industrially important commodities. The design of an optimal strain often requires the manipulation of metabolic and regulatory genes to different levels, such as overexpression, downregulation, and deletion. Unfortunately, few tools to achieve multiple functions simultaneously have been reported. Here, a dual-functional clustered regularly interspaced short palindromic repeats (CRISPR) (RE-CRISPR) system that combined genome editing and transcriptional repression was designed using a catalytically active Cas12a (a.k.a. Cpf1) in C. glutamicum. Firstly, gene deletion was achieved using Cas12a under a constitutive promoter. Then, via engineering of the guide RNA sequences, transcriptional repression was successfully achieved using a catalytically active Cas12a with crRNAs containing 15 or 16 bp spacer sequences, whose gene repression efficiency was comparable to that of the canonical system (deactivated Cas12a with full-length crRNAs). Finally, RE-CRISPR was developed to achieve genome editing and transcriptional repression simultaneously by transforming a single crRNA plasmid and Cas12a plasmid. The application of RE-CRISPR was demonstrated to increase the production of cysteine and serine for ~ 3.7-fold and 2.5-fold, respectively, in a single step. This study expands the application of CRISPR/Cas12a-based genome engineering and provides a powerful synthetic biology tool for multiplex metabolic engineering of C. glutamicum."
31665284,,Enhanced scale and scope of genome engineering and regulation using CRISPR/Cas in Saccharomyces cerevisiae.,2020,FEMS Yeast Res,10.1093/femsyr/foz076,"['Matthew Deaner', 'Hal S Alper']","['\n          Saccharomyces cerevisiae\n        ', 'CRISPR', 'Cas9', 'Cpf1', 'dCas9', 'metabolic engineering', 'synthetic biology']","Although only 6 years old, the CRISPR system has blossomed into a tool for rapid, on-demand genome engineering and gene regulation in Saccharomyces cerevisiae. In this minireview, we discuss fundamental CRISPR technologies, tools to improve the efficiency and capabilities of gene targeting, and cutting-edge techniques to explore gene editing and transcriptional regulation at genome scale using pooled approaches. The focus is on applications to metabolic engineering with topics including development of techniques to edit the genome in multiplex, tools to enable large numbers of genetic modifications using pooled single-guide RNA libraries and efforts to enable programmable transcriptional regulation using endonuclease-null Cas enzymes."
