PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
32224232,PMC7195089,COVID-19: Pandemic Contingency Planning for the Allergy and Immunology Clinic.,2020,J Allergy Clin Immunol Pract,10.1016/j.jaip.2020.03.012,"['Marcus S Shaker', 'John Oppenheimer', 'Mitchell Grayson', 'David Stukus', 'Nicholas Hartog', 'Elena W Y Hsieh', 'Nicholas Rider', 'Cullen M Dutmer', 'Timothy K Vander Leek', 'Harold Kim', 'Edmond S Chan', 'Doug Mack', 'Anne K Ellis', 'David Lang', 'Jay Lieberman', 'David Fleischer', 'David B K Golden', 'Dana Wallace', 'Jay Portnoy', 'Giselle Mosnaim', 'Matthew Greenhawt']","['Allergic rhinitis', 'Allergy', 'Allergy immunotherapy', 'Angioedema', 'Asthma', 'Atopic dermatitis', 'COVID-19', 'Food allergy', 'Primary immunodeficiency', 'SARS-CoV-2', 'Urticaria', 'Venom allergy']","In the event of a global infectious pandemic, drastic measures may be needed that limit or require adjustment of ambulatory allergy services. However, no rationale for how to prioritize service shut down and patient care exists. A consensus-based ad-hoc expert panel of allergy/immunology specialists from the United States and Canada developed a service and patient prioritization schematic to temporarily triage allergy/immunology services. Recommendations and feedback were developed iteratively, using an adapted modified Delphi methodology to achieve consensus. During the ongoing pandemic while social distancing is being encouraged, most allergy/immunology care could be postponed/delayed or handled through virtual care. With the exception of many patients with primary immunodeficiency, patients on venom immunotherapy, and patients with asthma of a certain severity, there is limited need for face-to-face visits under such conditions. These suggestions are intended to help provide a logical approach to quickly adjust service to mitigate risk to both medical staff and patients. Importantly, individual community circumstances may be unique and require contextual consideration. The decision to enact any of these measures rests with the judgment of each clinician and individual health care system. Pandemics are unanticipated, and enforced social distancing/quarantining is highly unusual. This expert panel consensus document offers a prioritization rational to help guide decision making when such situations arise and an allergist/immunologist is forced to reduce services or makes the decision on his or her own to do so."
31863807,,Time to develop more clinician-educators in allergy and immunology.,2019,J Allergy Clin Immunol,10.1016/j.jaci.2019.12.008,"['Lily C Pien', 'Colleen Y Colbert']","['Allergy and immunology', 'clinician-educator', 'community of practice', 'educator development', 'faculty development', 'professional development', 'professional identity', 'scholarship', 'teaching']","Clinician-educators in the field of allergy and immunology (A/I) in the United States teach and assess trainees (medical students, residents, and fellows), provide professional development to primary care physicians and advance practice providers, and are essential in developing a pipeline of academic A/I specialists. According to data from Doximity and the Association of American Medical Colleges, the United States appears to be facing a shortage of clinician-educators and academic allergists in A/I. Without adequate numbers of A/I specialists focused on medical education, institutions will find it difficult to train fellows and introduce the field of A/I to medical students and residents. It is now imperative that the field focus on empowering more A/I specialists to become clinical teachers and clinician-educators. There are specific strategies that individuals, as active agents in their own development, can take in planning for this rewarding and fulfilling career. Individuals can pursue professional development opportunities, join medical education communities of practice, seek education mentors, and join in scholarship activities. It is also essential that systems-level support be provided for clinician-educators, given the increasing business pressures in medicine. Academic institutions, national organizations, and professional societies can provide resources, including structured programs in medical education, protected time, and grants. This article outlines strategies for individuals, institutions, and professional organizations that will promote the development of the next generation of A/I clinician-educators."
28962920,,Allergy and immunology in Africa: Challenges and unmet needs.,2017,J Allergy Clin Immunol,10.1016/j.jaci.2017.09.004,"['Yehia M El-Gamal', 'Elham M Hossny', 'Zeinab A El-Sayed', 'Shereen M Reda']","['Africa', 'HIV', 'aeroallergens', 'allergy', 'asthma', 'food allergy', 'immunology', 'primary immunodeficiency']","The tremendous increase in allergy in the African continent cannot simply be explained by the change in public hygiene. There are many ""prehygiene"" communities with sewage-contaminated water supplies, helminth infestations, bare footedness, and poor housing, and still there is a high prevalence of allergic disease. Africans can be exposed to many risk factors facilitating severe asthma and wheezing, including airborne viruses, smoke, indoor dampness, cockroaches, and poor access to health care. Although the reporting on food allergy is inadequate to perform systematic reviews or meta-analyses, the available data suggest that food allergy is underdiagnosed. The rate of new HIV infections in high-prevalence settings in Africa remains unacceptably high. Although the annual number of new HIV infections in Sub-Saharan Africa has decreased lately, new HIV infections in the Middle East and North Africa region have increased; however, the current prevalence of 0.1% is still among the lowest globally. Africa is densely populated, and consanguineous mating is high in some areas of North and Sub-Saharan Africa. This allows for emergence of many autosomal recessive primary immunodeficiency diseases. There is urgent need for the establishment of primary immunodeficiency disease registries, stem cell transplantation facilities, and neonatal screening programs. To address these expanding problems and perform local cutting-edge research, Africans need to be empowered by motivated governments, dedicated funds, and compassionate scientific partnership."
29108604,,Global issues in allergy and immunology: Parasitic infections and allergy.,2017,J Allergy Clin Immunol,10.1016/j.jaci.2017.09.005,"['Alvaro A Cruz', 'Philip J Cooper', 'Camila A Figueiredo', 'Neuza M Alcantara-Neves', 'Laura C Rodrigues', 'Mauricio L Barreto']","['Allergy', 'asthma', 'epidemiology', 'helminths', 'parasite infection', 'pathogenesis']","Allergic diseases are on the increase globally in parallel with a decrease in parasitic infection. The inverse association between parasitic infections and allergy at an ecological level suggests a causal association. Studies in human subjects have generated a large knowledge base on the complexity of the interrelationship between parasitic infection and allergy. There is evidence for causal links, but the data from animal models are the most compelling: despite the strong type 2 immune responses they induce, helminth infections can suppress allergy through regulatory pathways. Conversely, many helminths can cause allergic-type inflammation, including symptoms of ""classical"" allergic disease. From an evolutionary perspective, subjects with an effective immune response against helminths can be more susceptible to allergy. This narrative review aims to inform readers of the most relevant up-to-date evidence on the relationship between parasites and allergy. Experiments in animal models have demonstrated the potential benefits of helminth infection or administration of helminth-derived molecules on chronic inflammatory diseases, but thus far, clinical trials in human subjects have not demonstrated unequivocal clinical benefits. Nevertheless, there is sufficiently strong evidence to support continued investigation of the potential benefits of helminth-derived therapies for the prevention or treatment of allergic and other inflammatory diseases."
30399611,,Recent Advances in Clinical Allergy and Immunology.,2018,Int Arch Allergy Immunol,10.1159/000494931,['Dagmar Simon'],"['Allergic rhinitis', 'Angioedema', 'Atopic dermatitis', 'Bronchial asthma', 'Drug hypersensitivity', 'Food allergy', 'Urticaria']","Allergic diseases are of great concern because of their high prevalence, which is still rising in several regions, their impact on patients' physical and psychological health, the huge burden they place on patients' quality of life, as well as the socioeconomic consequences that they cause. Recent research has provided new data on both genetic and environmental risk factors of atopic/allergic diseases. The application of new technologies such as ""omics"" has allowed a better understanding of the pathogenesis and has helped with the identification of therapeutic targets. Immense progress has been made in developing and applying novel, targeted therapies, for example for asthma and urticaria. Intensive efforts are being made to find biomarkers that help to classify patients, to identify their potential responsiveness to specific therapies, and to monitor the disease severity. Based on recent insights in the pathogenesis of food allergy and drug hypersensitivity, novel strategies for diagnostics, allergen avoidance, and induction of tolerance have been developed. Here, we summarize important findings in the field of clinical allergy and immunology with a special focus on asthma, allergic rhinitis, atopic dermatitis, food allergy, urticaria, angioedema, and drug hypersensitivity."
32088321,,Recombinant zoster vaccine administration in an allergy and immunology practice: A medical and economic case.,2020,Ann Allergy Asthma Immunol,10.1016/j.anai.2020.02.006,"['Hannah G Russell', 'Mike S Tankersley']",[],
30888698,,Legends of allergy and immunology: Henning Løwenstein.,2019,Allergy,10.1111/all.13781,"['Peter A Würtzen', 'Jørgen N Larsen', 'Henrik Ipsen']",[],
26163316,,"Utilizing social networks, blogging and YouTube in allergy and immunology practices.",2015,Expert Rev Clin Immunol,10.1586/1744666X.2015.1065731,"['Ves Dimov', 'Frank Eidelman']","['Facebook', 'Twitter', 'YouTube', 'allergic rhinitis', 'allergy', 'asthma', 'immunology', 'social media', 'social network', 'technology']","Online social networks are used to connect with friends and family members, and increasingly, to stay up-to-date with the latest news and developments in allergy and immunology. As communication is a central part of healthcare delivery, the utilization of such networking channels in allergy and immunology will continue to grow. There are inherent risks to online social networks related to breaches of patient confidentiality, professionalism and privacy. Malpractice and liability risks should also be considered. There is a paucity of information in the literature on how social network interventions affect patient outcomes. The allergy and immunology community should direct future studies towards investigating how the use of social networks and other technology tools and services can improve patient care. "
32546234,PMC7296524,Consensus statement of the Italian society of pediatric allergy and immunology for the pragmatic management of children and adolescents with allergic or immunological diseases during the COVID-19 pandemic.,2020,Ital J Pediatr,10.1186/s13052-020-00843-2,"['Fabio Cardinale', 'Giorgio Ciprandi', 'Salvatore Barberi', 'Roberto Bernardini', 'Carlo Caffarelli', 'Mauro Calvani', 'Giovanni Cavagni', 'Elena Galli', 'Domenico Minasi', 'Michele Miraglia Del Giudice', 'Viviana Moschese', 'Elio Novembre', 'Francesco Paravati', 'Diego G Peroni', 'Maria Angela Tosca', 'Giovanni Traina', 'Salvatore Tripodi', 'Gian Luigi Marseglia']","['Adolescent', 'Allergy', 'Asthma', 'COVID-19', 'Child', 'Immunologic disease', 'Pandemic']","The COVID-19 pandemic has surprised the entire population. The world has had to face an unprecedented pandemic. Only, Spanish flu had similar disastrous consequences. As a result, drastic measures (lockdown) have been adopted worldwide. Healthcare service has been overwhelmed by the extraordinary influx of patients, often requiring high intensity of care. Mortality has been associated with severe comorbidities, including chronic diseases. Patients with frailty were, therefore, the victim of the SARS-COV-2 infection. Allergy and asthma are the most prevalent chronic disorders in children and adolescents, so they need careful attention and, if necessary, an adaptation of their regular treatment plans. Fortunately, at present, young people are less suffering from COVID-19, both as incidence and severity. However, any age, including infancy, could be affected by the pandemic.Based on this background, the Italian Society of Pediatric Allergy and Immunology has felt it necessary to provide a Consensus Statement. This expert panel consensus document offers a rationale to help guide decision-making in the management of children and adolescents with allergic or immunologic diseases."
29047174,,Pediatric allergy and immunology in China.,2017,Pediatr Allergy Immunol,10.1111/pai.12819,"['Gary W K Wong', 'Jing Li', 'Yi-Xiao Bao', 'Jiu-Yao Wang', 'Ting Fan Leung', 'Luan-Luan Li', 'Jie Shao', 'Xin-Yuan Huang', 'En-Mei Liu', 'Kun-Ling Shen', 'Yu-Zhi Chen']","['allergy', 'china', 'immunology', 'pediatrics']","Over the past 30 years, China has enjoyed rapid economic development along with urbanization at a massive scale that the world has not experienced before. Such development has also been associated with a rapid rise in the prevalence of allergic disorders. Because of the large childhood population in the country, the burden of childhood allergic disorders has become one of the major challenges in the healthcare system. Among the Chinese centers participating in the International Study of Asthma and Allergies in Childhood, the data clearly showed a continuing rise in the prevalence of asthma, allergic rhinitis, and atopic eczema. However, the discipline of pediatric allergy in mainland China is still in its infancy due to the lack of formal training program and subspecialty certification. Clinicians and researchers are increasingly interested in providing better care for patients with allergies by establishing pediatric allergy centers in different regions of the country. Many of them have also participated in national or international collaborative projects hoping to answer the various research questions related to the discipline of pediatric allergy and immunology. It is our hope that the research findings from China will not only improve the quality of care of affected children within this country but also the millions of patients with allergies worldwide."
