PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
31363817,,Post-translational modification and protein sorting to small extracellular vesicles including exosomes by ubiquitin and UBLs.,2019,Cell Mol Life Sci,10.1007/s00018-019-03246-7,"['Hiroshi Ageta', 'Kunihiro Tsuchida']","['Exosome', 'Multivesicular body', 'Post-translational modification', 'Small extracellular vesicle', 'Ubiquitin', 'Ubiquitin-like protein']","Exosomes, a type of small extracellular vesicles (sEVs), are secreted membrane vesicles that are derived from various cell types, including cancer cells, mesenchymal stem cells, and immune cells via multivesicular bodies (MVBs). These sEVs contain RNAs (mRNA, miRNA, lncRNA, and rRNA), lipids, DNA, proteins, and metabolites, all of which mediate cell-to-cell communication. This communication is known to be implicated in a diverse set of diseases such as cancers and their metastases and degenerative diseases. The molecular mechanisms, by which proteins are modified and sorted to sEVs, are not fully understood. Various cellular processes, including degradation, transcription, DNA repair, cell cycle, signal transduction, and autophagy, are known to be associated with ubiquitin and ubiquitin-like proteins (UBLs). Recent studies have revealed that ubiquitin and UBLs also regulate MVBs and protein sorting to sEVs. Ubiquitin-like 3 (UBL3)/membrane-anchored Ub-fold protein (MUB) acts as a post-translational modification (PTM) factor to regulate efficient protein sorting to sEVs. In this review, we focus on the mechanism of PTM by ubiquitin and UBLs and the pathway of protein sorting into sEVs and discuss the potential biological significance of these processes."
30843382,,Novel Mussel-Inspired Universal Surface Functionalization Strategy: Protein-Based Coating with Residue-Specific Post-Translational Modification in Vivo.,2019,ACS Appl Mater Interfaces,10.1021/acsami.8b22551,"['Haishan Qi', 'Weiwei Zheng', 'Chen Zhang', 'Xiao Zhou', 'Lei Zhang']","['3,4-dihydroxyphenylalanine', 'post-translational modification', 'protein engineering', 'surface chemistry', 'universal coating']","Surface functionalization can effectively endow materials with desirable properties, promoting the performance between the material and environment, with extensive applications. However, a universal and straightforward surface functionalization method with biocompatibility is scarce. In this study, with synthetic biology strategy, recombinant mussel plaque protein with a zwitterionic peptide inspired by molecular chaperone was engineered through post-translational modification, in which 3,4-dihydroxyphenylalanine was residue-specifically obtained efficiently from tyrosine with tyrosinase coexpressed in vivo. The rational designed chimeric protein coating in this work could successfully anchor to various substrates and exhibit excellent antifouling performance in resisting protein adsorption, cell attachment, and bacterial adhesion with eminent biocompatibility."
29868881,,Muscle RING-finger protein-1 (MuRF1) functions and cellular localization are regulated by SUMO1 post-translational modification.,2020,J Mol Cell Biol,10.1093/jmcb/mjy036,"['Gabriel Heras', 'Arvind Venkat Namuduri', 'Leonardo Traini', 'Ganna Shevchenko', 'Alexander Falk', 'Sara Bergström Lind', 'Mi Jia', 'Geng Tian', 'Stefano Gastaldello']","['SUMO', 'TRIM63/MuRF1', 'hyperglycemia', 'muscle remodeling', 'protein degradation']","The muscle RING-finger protein-1 (MuRF1) is an E3 ubiquitin ligase expressed in skeletal and cardiac muscle tissues and it plays important roles in muscle remodeling. Upregulation of MuRF1 gene transcription participates in skeletal muscle atrophy, on contrary downregulation of protein expression leads to cardiac hypertrophy. MuRF1 gene point mutations have been found to generate protein aggregate myopathies defined as muscle disorder characterized by protein accumulation in muscle fibers. We have discovered that MuRF1 turned out to be also a target for a new post-translational modification arbitrated by conjugation of SUMO1 and it is mediated by the SUMO ligases E2 UBC9 and the E3 PIASγ/4. SUMOylation takes place at lysine 238 localized at the second coiled-coil protein domain that is required for efficient substrate interaction for polyubiquitination. We provided evidence that SUMOylation is essential for MuRF1 nuclear translocation and its mitochondria accumulation is enhanced in hyperglycemic conditions delivering a stabilization of the overall SUMOylated proteins in cultured myocytes. Thus, our findings add this SUMO1 post-translational modification as a new concept to understand muscle disorders related to the defect in MuRF1 activity."
30638182,PMC6443327,Regulation of post-translational modification in breast cancer treatment.,2019,BMB Rep,10.5483/BMBRep.2019.52.2.017,['Kyung-Sun Heo'],[],"The small ubiquitin-related modification molecule (SUMO), one of the post-translational modification molecules, is involved in a variety of cellular functions where it regulates protein activity and stability, transcription, and cell cycling. Modulation of protein SUMOylation or deSUMOylation modification has been associated with regulation of carcinogenesis in breast cancer. In the dynamic processes of SUMOylation and deSUMOylation in a variety of cancers, SUMO proteases (SENPs), reverse SUMOylation by isopeptidase activity and SENPs are mostly elevated, and are related to poor patient prognosis. Although underlying mechanisms have been suggested for how SENPs participate in breast cancer tumorigenesis, such as through regulation of target protein transactivation, cancer cell survival, cell cycle, or other post-translational modification-related machinery recruitment, the effect of SENP isoform-specific inhibitors on the progression of breast cancer have not been well evaluated. This review will introduce the functions of SENP1 and SENP2 and the underlying signaling pathways in breast cancer for use in discovery of new biomarkers for diagnosis or therapeutic targets for treatment. [BMB Reports 2019; 52(2): 113-118]."
29434080,PMC5843760,Exploring peptide hormones in plants: identification of four peptide hormone-receptor pairs and two post-translational modification enzymes.,2018,Proc Jpn Acad Ser B Phys Biol Sci,10.2183/pjab.94.006,['Yoshikatsu Matsubayashi'],"['Arabidopsis', 'cell-to-cell communication', 'ligand', 'post-translational modification', 'receptor', 'secreted peptide']","The identification of hormones and their receptors in multicellular organisms is one of the most exciting research areas and has lead to breakthroughs in understanding how their growth and development are regulated. In particular, peptide hormones offer advantages as cell-to-cell signals in that they can be synthesized rapidly and have the greatest diversity in their structure and function. Peptides often undergo post-translational modifications and proteolytic processing to generate small oligopeptide hormones. In plants, such small post-translationally modified peptides constitute the largest group of peptide hormones. We initially explored this type of peptide hormone using bioassay-guided fractionation and later by in silico gene screening coupled with biochemical peptide detection, which led to the identification of four types of novel peptide hormones in plants. We also identified specific receptors for these peptides and transferases required for their post-translational modification. This review summarizes how we discovered these peptide hormone-receptor pairs and post-translational modification enzymes, and how these molecules function in plant growth, development and environmental adaptation."
31296352,,Analysis and Interpretation of Protein Post-Translational Modification Site Stoichiometry.,2019,Trends Biochem Sci,10.1016/j.tibs.2019.06.003,"['Gabriela Prus', 'Annabelle Hoegl', 'Brian T Weinert', 'Chunaram Choudhary']","['cell signaling', 'mass spectrometry', 'post-translational modification stoichiometry', 'proteomics']","Proteins are decorated with a diverse array of post-translational modifications (PTMs) that regulate their spatial and temporal functions. Recent mass spectrometry (MS)-based studies have identified hundreds of thousands of PTM sites in mammalian proteomes. However, the signaling cues and enzymes regulating individual sites are often not known and their functional roles remain uncharacterized. Quantification of PTM site stoichiometry can help in prioritizing sites for functional analyses and is important for constructing mechanistic models of PTM-dependent protein regulation. Here, we review the concept of PTM site stoichiometry, critically evaluate the merits and drawbacks of different MS-based methods used for quantifying PTM site stoichiometry, and discuss the usefulness and limitations of stoichiometry in informing on the biological function of modified sites."
30817296,,Post-translational modification-derived products are associated with frailty status in elderly subjects.,2020,Clin Chem Lab Med,10.1515/cclm-2018-1322,"['Rachid Mahmoudi', 'Stéphane Jaisson', 'Sarah Badr', 'Yacine Jaidi', 'Laurie-Anne Bertholon', 'Jean-Luc Novella', 'Philippe Gillery']","['advanced glycation end-products', 'biomarkers', 'frailty', 'homocitrulline', 'post-translational modification derived products', 'protein molecular aging']","Background Identifying frail elderly subjects is of paramount importance in order to conduct a tailored care. The characterization of frailty status is currently based on the collection of clinical data and on the use of various tools such as Fried's criteria, which constitutes a difficult and time-consuming process. Up to now, no biological markers have been described as reliable tools for frailty characterization. We tested the hypothesis that a link between frailty and protein molecular aging existed. This study aimed therefore at determining whether post-translational modification derived products (PTMDPs), recognized as biomarkers of protein aging, were associated with frailty status in elderly subjects. Methods Frailty status was determined according to Fried's criteria in 250 elderly patients (>65 years old) hospitalized in a short-term care unit. Serum concentrations of protein-bound PTMDPs, including carboxymethyllysine (CML), pentosidine, methylglyoxal-hydroimidazolone-1 and homocitrulline (HCit), were determined by liquid chromatography coupled with tandem mass spectrometry, and tissue content of advanced glycation end-products was assessed by skin autofluorescence (SAF) measurement. Associations between PTMDPs and frailty status were analyzed using logistic regression models. Results Frail patients had significantly (p<0.01) higher CML, HCit, and SAF values compared to non-frail and pre-frail subjects. By multivariate analysis, only HCit concentrations and SAF values remained associated with frailty status (p=0.016 and p=0.002, respectively), independently of age, comorbidities, renal function, C-reactive protein and albumin concentrations. Conclusions HCit and SAF are significantly associated with frailty status in elderly subjects. This study suggests that PTMDPs constitute promising biomarkers for identifying frail patients and guiding personalized patient care."
27367363,,DAPPLE 2: a Tool for the Homology-Based Prediction of Post-Translational Modification Sites.,2016,J Proteome Res,10.1021/acs.jproteome.6b00304,"['Brett Trost', 'Farhad Maleki', 'Anthony Kusalik', 'Scott Napper']","['acetylation', 'cross-species comparisons', 'glycosylation', 'homology', 'methylation', 'nitrosylation', 'phosphorylation', 'post-translational modifications', 'ubiquitination']","The post-translational modification of proteins is critical for regulating their function. Although many post-translational modification sites have been experimentally determined, particularly in certain model organisms, experimental knowledge of these sites is severely lacking for many species. Thus, it is important to be able to predict sites of post-translational modification in such species. Previously, we described DAPPLE, a tool that facilitates the homology-based prediction of one particular post-translational modification, phosphorylation, in an organism of interest using known phosphorylation sites from other organisms. Here, we describe DAPPLE 2, which expands and improves upon DAPPLE in three major ways. First, it predicts sites for many post-translational modifications (20 different types) using data from several sources (15 online databases). Second, it has the ability to make predictions approximately 2-7 times faster than DAPPLE depending on the database size and the organism of interest. Third, it simplifies and accelerates the process of selecting predicted sites of interest by categorizing them based on gene ontology terms, keywords, and signaling pathways. We show that DAPPLE 2 can successfully predict known human post-translational modification sites using, as input, known sites from species that are either closely (e.g., mouse) or distantly (e.g., yeast) related to humans. DAPPLE 2 can be accessed at http://saphire.usask.ca/saphire/dapple2 ."
31561603,PMC6801645,Lysine Propionylation is a Widespread Post-Translational Modification Involved in Regulation of Photosynthesis and Metabolism in Cyanobacteria.,2019,Int J Mol Sci,10.3390/ijms20194792,"['Mingkun Yang', 'Hui Huang', 'Feng Ge']","['PsaD', 'Synechocystis sp. PCC 6803', 'cyanobacteria', 'fructose-1,6-bisphosphatase', 'lysine propionylation', 'post-translational modification', 'proteomic analysis']","Lysine propionylation is a reversible and widely distributed post-translational modification that is known to play a regulatory role in both eukaryotes and prokaryotes. However, the extent and function of lysine propionylation in photosynthetic organisms remains unclear. Cyanobacteria are the most ancient group of Gram-negative bacteria capable of oxygenic photosynthesis, and are of great importance to global carbon and nitrogen cycles. Here, we carried out a systematic study of lysine propionylaiton in cyanobacteria where we used "
30782363,,Homogeneous peptide-break assay for luminescent detection of enzymatic protein post-translational modification activity utilizing charged peptides.,2018,Anal Chim Acta,10.1016/j.aca.2018.12.041,"['Kari Kopra', 'Natalia Tong-Ochoa', 'Mari Laine', 'Ville Eskonen', 'Päivi J Koskinen', 'Harri Härmä']","['Acetylation', 'Citrullination', 'Peptide-break technology', 'Phosphorylation', 'Protein post-translational modification', 'Time-resolved luminescence']","We have developed a rapid and sensitive universal peptide-based time-resolved luminescence assay for detection of enzymatic post-translational modifications (PTMs). PTMs play essential roles in intracellular signaling and cell regulation, thus providing functional protein diversity in cell. Due this, impaired PTM patterns have been linked to multiple disease states. Clear link between PTMs and pathological conditions have also driven assay development further, but still today most of the methodologies are based on single-specificity or group-specific PTM-recognition. We have previously introduced leuzine-zipper based peptide-break technology as a viable option for universal PTM detection. Here, we introduce peptide-break technology utilizing single-label homogeneous quenching resonance energy transfer (QRET) and charge-based peptide-peptide interaction. We demonstrate the functionality of the new assay concept in phosphorylation, deacetylation, and citrullination. In a comparable study between previously introduced leucine-zipper and the novel charge-based approach, we found equal PTM detection performance and sensitivity, but the peptide design for new targets is simplified with the charged peptides. The new concept allows the use of short <20 amino acid peptides without limitations rising from the leucine-zipper coiled-coil structure. Introduced methodology enables wash-free PTM detection in a 384-well plate format, using low nanomolar enzyme concentrations. Potentially, the peptide-break technique using charged peptides may be applicable for natural peptide sequences directly obtained from the target protein."
