PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
32053662,PMC7018046,AMPKα Subunit Ssp2 and Glycogen Synthase Kinases Gsk3/Gsk31 are involved in regulation of sterol regulatory element-binding protein (SREBP) activity in fission yeast.,2020,PLoS One,10.1371/journal.pone.0228845,"['Hao Miao', 'Qiannan Liu', 'Guanglie Jiang', 'Wen Zhang', 'Kun Liu', 'Xiang Gao', 'Yujie Huo', 'Si Chen', 'Toshiaki Kato', 'Norihiro Sakamoto', 'Takayoshi Kuno', 'Yue Fang']",[],"Sterol regulatory element-binding protein (SREBP), a highly conserved family of membrane-bound transcription factors, is an essential regulator for cellular cholesterol and lipid homeostasis in mammalian cells. Sre1, the homolog of SREBP in the fission yeast Schizosaccharomyces pombe (S. pombe), regulates genes involved in the transcriptional responses to low sterol as well as low oxygen. Previous study reported that casein kinase 1 family member Hhp2 phosphorylated the Sre1 N-terminal transcriptional factor domain (Sre1N) and accelerated Sre1N degradation, and other kinases might exist for regulating the Sre1 function. To gain insight into the mechanisms underlying the Sre1 activity and to identify additional kinases involved in regulation of Sre1 function, we developed a luciferase reporter system to monitor the Sre1 activity through its binding site called SRE2 in living yeast cells. Here we showed that both ergosterol biosynthesis inhibitors and hypoxia-mimic CoCl2 caused a dose-dependent increase in the Sre1 transcription activity, concurrently, these induced transcription activities were almost abolished in Δsre1 cells. Surprisingly, either AMPKα Subunit Ssp2 deletion or Glycogen Synthase Kinases Gsk3/Gsk31 double deletion significantly suppressed ergosterol biosynthesis inhibitors- or CoCl2-induced Sre1 activity. Notably, the Δssp2Δgsk3Δgsk31 mutant showed further decreased Sre1 activity when compared with their single or double deletion. Consistently, the Δssp2Δgsk3Δgsk31 mutant showed more marked temperature sensitivity than any of their single or double deletion. Moreover, the fluorescence of GFP-Sre1N localized at the nucleus in wild-type cells, but significantly weaker nuclear fluorescence of GFP-Sre1N was observed in Δssp2, Δgsk3Δgsk31, Δssp2Δgsk3, Δssp2Δgsk31 or Δssp2Δgsk3Δgsk31 cells. On the other hand, the immunoblot showed a dramatic decrease in GST-Sre1N levels in the Δgsk3Δgsk31 or the Δssp2Δgsk3Δgsk31 cells but not in the Δssp2 cells. Altogether, our findings suggest that Gsk3/Gsk31 may regulate Sre1N degradation, while Ssp2 may regulate not only the degradation of Sre1N but also its translocation to the nucleus."
25688876,,"Fatty acid synthase promoter: characterization, and transcriptional regulation by sterol regulatory element binding protein-1 in goat mammary epithelial cells.",2015,Gene,10.1016/j.gene.2015.02.034,"['Jun Li', 'Jun Luo', 'Huifen Xu', 'Miao Wang', 'Jiangjiang Zhu', 'Hengbo Shi', 'Abiel Berhane Haile', 'Hui Wang', 'Yuting Sun']","['Fatty acid synthase promoter', 'Lipogenesis', 'Sterol regulatory element binding protein-1', 'Transcriptional regulation']","Fatty acid synthase (FASN) is the central enzyme of the de novo fatty acid biosynthesis pathway. Although the FASN transcriptional regulatory mechanism has been elucidated clearly in many tumor cells, its mechanism is still not clear in the ruminant mammary gland. In this study, we cloned and sequenced a 1.8-kb fragment of the FASN 5' flanking region from goat genomic DNA. Multiple alignment analysis demonstrated that the entire 1.8-kb fragment has little homology but that the sub-section nearest the transcriptional start site (-203 to +1) is more conserved across species, in particular the binding motifs for transcriptional regulation. Deletion analysis revealed a putative core promoter region located in -297/-14 bp upstream of the transcription site within the high homology domain. Mutations of sterol response elements (SRE1 and SRE2) and the nuclear factor Y (NF-Y) binding site appeared to significantly down-regulate the FASN promoter activity in goat mammary epithelial cells (P<0.05). Further analysis showed that both SRE sites responded to sterol regulatory element-binding protein 1 (SREBP-1). SREBP-1 overexpression and knockdown by small interference RNA influenced the abundance of endogenous FASN. These data suggested that SREBP-1 may regulate FASN expression at the transcriptional level in the lactating goat mammary gland. Hence, the current work will contribute valuable information to understanding the molecular regulatory mechanisms of FASN during lactation."
26762773,PMC5067685,A novel regulatory element (E77) isolated from CHO-K1 genomic DNA enhances stable gene expression in Chinese hamster ovary cells.,2016,Biotechnol J,10.1002/biot.201500464,"['Shin-Young Kang', 'Yeon-Gu Kim', 'Seunghee Kang', 'Hong Weon Lee', 'Eun Gyo Lee']","['CMV promoter', 'Chinese hamster ovary cells', 'Green fluorescent protein', 'Regulatory DNA element', 'Stable gene expression']","Vectors flanked by regulatory DNA elements have been used to generate stable cell lines with high productivity and transgene stability; however, regulatory elements in Chinese hamster ovary (CHO) cells, which are the most widely used mammalian cells in biopharmaceutical production, are still poorly understood. We isolated a novel gene regulatory element from CHO-K1 cells, designated E77, which was found to enhance the stable expression of a transgene. A genomic library was constructed by combining CHO-K1 genomic DNA fragments with a CMV promoter-driven GFP expression vector, and the E77 element was isolated by screening. The incorporation of the E77 regulatory element resulted in the generation of an increased number of clones with high expression, thereby enhancing the expression level of the transgene in the stable transfectant cell pool. Interestingly, the E77 element was found to consist of two distinct fragments derived from different locations in the CHO genome shotgun sequence. High and stable transgene expression was obtained in transfected CHO cells by combining these fragments. Additionally, the function of E77 was found to be dependent on its site of insertion and specific orientation in the vector construct. Our findings demonstrate that stable gene expression mediated by the CMV promoter in CHO cells may be improved by the isolated novel gene regulatory element E77 identified in the present study. "
28027934,,Histone modifications in FASN modulated by sterol regulatory element-binding protein 1c and carbohydrate responsive-element binding protein under insulin stimulation are related to NAFLD.,2016,Biochem Biophys Res Commun,10.1016/j.bbrc.2016.12.129,"['Xuan Du', 'Can Cai', 'Jialing Yao', 'Youping Zhou', 'Huihong Yu', 'Wei Shen']","['ChREBP', 'Hepatocyte steatosis', 'Histone modification', 'IR', 'NAFLD', 'SREBP-1c']","Non-alcoholic fatty liver disease (NAFLD) and its causal factors of hepatic insulin resistance (IR) and type 2 diabetes are rapidly growing worldwide. Developing new therapeutic methods for these conditions requires a comprehensive understanding between hepatic lipid metabolism and IR. Sterol regulatory element-binding transcription factor 1c (SREBP-1c) and carbohydrate responsive-element binding protein (ChREBP) are the major regulators of fatty acid synthase (FASN), a key enzyme of de novo fatty acid synthesis. They are induced by insulin, which directly binds to the sterol regulatory elements (SRE) or carbohydrate-responsive elements (ChORE) of the FASN promoter to induce its expression. The insulin pathway involved in NAFLD has well studied, but the role of histone modification in NAFLD is just beginning to be investigated, and there is minimal data regarding its involvement. In the current study, we investigated histone modifications in FASN under insulin stimulation. H3K4 hypertrimethylation and H3, H4 hyperacetylation in the FASN promoter was found in HepG2 cells and primary hepatocytes following insulin stimulation. We also found that insulin treatment induced the transcription factor SREBP-1c, ChREBP and could accelerate FASN expression by enhancing SREBP-1c, SRE, and ChREBP ChORE binding and inducing H3, H4 hyperacetylation at SRE, ChORE, or transcription start site (TSS) regions of the FASN promoter in hepatocellular carcinoma cell line (HepG2) and primary hepatocytes. Finally, histone acetylation could influence FASN expression by impairing SREBP-1c SRE and ChREBP ChORE binding."
29524151,,Screening Regulatory Element Function with CRISPR/Cas9-based Epigenome Editing.,2019,Methods Mol Biol,10.1007/978-1-4939-7774-1_25,"['Tyler S Klann', 'Gregory E Crawford', 'Timothy E Reddy', 'Charles A Gersbach']","['CRISPR/Cas9', 'Epigenetics', 'Epigenome editing', 'Gene expression profiling', 'High-throughput screening']","Genomic regulatory elements that control gene expression play an important role in many traits and diseases. Identifying the regulatory elements associated with each gene or phenotype and understanding the function of that element remain a significant challenge. To address this technological need, we developed CRISPR/Cas9-based epigenomic regulatory element screening (CERES) for improved high-throughput screening of regulatory element activity in the native genomic context. This protocol includes detailed instructions for design and cloning of gRNA libraries, construction of endogenous reporter cell lines via CRISPR/Cas9-mediated knock-in of fluorescent proteins, overall screen design, and recovery of the gRNA library for enrichment analysis. This protocol will be generally useful for implementing genome engineering technologies for high-throughput functional annotation of putative regulatory elements in their native chromosomal context."
26514143,,A conserved RNA structural element within the hepatitis B virus post-transcriptional regulatory element enhance nuclear export of intronless transcripts and repress the splicing mechanism.,2015,Mol Biol Rep,10.1007/s11033-015-3928-0,"['Akasit Visootsat', 'Sunchai Payungporn', 'Nattanan P T-Thienprasert']","['HBV PRE', 'Hepatitis B virus', 'Nuclear export', 'Regulatory element', 'Splicing']","Hepatitis B virus (HBV) infection is a primary cause of hepatocellular carcinoma and liver cirrhosis worldwide. To develop novel antiviral drugs, a better understanding of HBV gene expression regulation is vital. One important aspect is to understand how HBV hijacks the cellular machinery to export unspliced RNA from the nucleus. The HBV post-transcriptional regulatory element (HBV PRE) has been proposed to be the HBV RNA nuclear export element. However, the function remains controversial, and the core element is unclear. This study, therefore, aimed to identify functional regulatory elements within the HBV PRE and investigate their functions. Using bioinformatics programs based on sequence conservation and conserved RNA secondary structures, three regulatory elements were predicted, namely PRE 1151-1410, PRE 1520-1620 and PRE 1650-1684. PRE 1151-1410 significantly increased intronless and unspliced luciferase activity in both HepG2 and COS-7 cells. Likewise, PRE 1151-1410 significantly elevated intronless and unspliced HBV surface transcripts in liver cancer cells. Moreover, motif analysis predicted that PRE 1151-1410 contains several regulatory motifs. This study reported the roles of PRE 1151-1410 in intronless transcript nuclear export and the splicing mechanism. Additionally, these results provide knowledge in the field of HBV RNA regulation. Moreover, PRE 1151-1410 may be used to enhance the expression of other mRNAs in intronless reporter plasmids. "
30259067,,Editing porcine IGF2 regulatory element improved meat production in Chinese Bama pigs.,2018,Cell Mol Life Sci,10.1007/s00018-018-2917-6,"['Guanghai Xiang', 'Jilong Ren', 'Tang Hai', 'Rui Fu', 'Dawei Yu', 'Jing Wang', 'Wei Li', 'Haoyi Wang', 'Qi Zhou']","['CRISPR–Cas9', 'Genome engineering', 'Meat production', 'Pig']","Insulin-like growth factor 2 (IGF2) is an important growth factor, which promotes growth and development in mammals during fetal and postnatal stages. Using CRISPR-Cas9 system, we generated multiple founder pigs containing 12 different mutant alleles around a regulatory element within the intron 3 of IGF2 gene. Crossing two male founders passed four mutant alleles onto F1 generation, and these mutations abolished repressor ZBED6 binding and rendered this regulatory element nonfunctional. Both founders and F1 animals showed significantly faster growth, without affecting meat quality. These results indicated that editing IGF2 intron 3-3072 site using CRISPR-Cas9 technology improved meat production in Bama pigs. This is the first demonstration that editing non-coding region can improve economic traits in livestock."
28359808,,Asymmetrically reduced expression of hand1 homeologs involving a single nucleotide substitution in a cis-regulatory element.,2017,Dev Biol,10.1016/j.ydbio.2017.03.021,"['Haruki Ochi', 'Nanoka Suzuki', 'Akane Kawaguchi', 'Hajime Ogino']","['Cis-regulatory element', 'Hand', 'Tetraploidization', 'Whole genome duplication', 'Xenopus laevis (X. laevis)', 'Xenopus tropicalis (X. tropicalis)']","During vertebrate evolution, whole genome duplications resulted in a number of duplicated genes, some of which eventually changed their expression patterns and/or levels via alteration of cis-regulatory sequences. However, the initial process involved in such cis-regulatory changes remains unclear. Therefore, we investigated this process by analyzing the duplicated hand1 genes of Xenopus laevis (hand1.L and hand1.S), which were generated by allotetraploidization 17-18 million years ago, and compared these with their single ortholog in the ancestral-type diploid species X. tropicalis. A dN/dS analysis indicated that hand1.L and hand1.S are still under purifying selection, and thus, their products appear to retain ancestral functional properties. RNA-seq and in situ hybridization analyses revealed that hand1.L and hand1.S have similar expression patterns to each other and to X. tropicalis hand1, but the hand1.S expression level was much lower than the hand1.L expression level in the primordial heart. A comparative sequence analysis, luciferase reporter analysis, ChIP-PCR analysis, and transgenic reporter analysis showed that a single nucleotide substitution in the hand1.S promoter was responsible for the reduced expression in the heart. These findings demonstrated that a small change in the promoter sequence can trigger diversification of duplicated gene expression prior to diversification of their encoded protein functions in a young duplicated genome."
28417999,PMC5490986,A tiling-deletion-based genetic screen for cis-regulatory element identification in mammalian cells.,2017,Nat Methods,10.1038/nmeth.4264,"['Yarui Diao', 'Rongxin Fang', 'Bin Li', 'Zhipeng Meng', 'Juntao Yu', 'Yunjiang Qiu', 'Kimberly C Lin', 'Hui Huang', 'Tristin Liu', 'Ryan J Marina', 'Inkyung Jung', 'Yin Shen', 'Kun-Liang Guan', 'Bing Ren']",[],"Millions of cis-regulatory elements are predicted to be present in the human genome, but direct evidence for their biological function is scarce. Here we report a high-throughput method, cis-regulatory element scan by tiling-deletion and sequencing (CREST-seq), for the unbiased discovery and functional assessment of cis-regulatory sequences in the genome. We used it to interrogate the 2-Mb POU5F1 locus in human embryonic stem cells, and identified 45 cis-regulatory elements. A majority of these elements have active chromatin marks, DNase hypersensitivity, and occupancy by multiple transcription factors, which confirms the utility of chromatin signatures in cis-element mapping. Notably, 17 of them are previously annotated promoters of functionally unrelated genes, and like typical enhancers, they form extensive spatial contacts with the POU5F1 promoter. These results point to the commonality of enhancer-like promoters in the human genome."
27287690,PMC4902921,Construction of an integrative regulatory element and variation map of the murine Tst locus.,2016,BMC Genet,10.1186/s12863-016-0381-6,"['Jasmina Beltram', 'Nicholas M Morton', 'Tanja Kunej', 'Simon Horvat']","['Bioinformatics', 'Gene variants', 'Lean', 'Map', 'Obesity', 'Polymorphism', 'Regulatory elements', 'Rhodanese', 'Thiosulfate sulfurtransferase (TST)']","Given the abundance of new genomic projects and gene annotations, researchers trying to pinpoint causal genetic variants are faced with a challenging task of how to efficiently integrate all current genomic information. The objective of the study was to develop an approach to integrate various genomic annotations for a recently positionally-cloned Tst gene (Thiosulfate Sulfur Transferase, synonym Rhodanese) responsible for the Fob3b2 QTL effect on leanness and improved metabolic parameters. The second aim was to identify and prioritize Tst genetic variants that may be causal for the phenotypic effects."
