PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
31953060,,Alteration of SC35 localization by transfection reagents.,2020,Biochim Biophys Acta Mol Cell Res,10.1016/j.bbamcr.2020.118650,"['Arun Prasath Damodaran', 'Thibault Courthéoux', 'Erwan Watrin', 'Claude Prigent']","['Cytoplasmic granules', 'JetPRIME', 'SC35', 'Speckles', 'Splicing', 'Transfection']","Transfection is a powerful tool that enables introducing foreign nucleic acids into living cells in order to study the function of a gene product. Ever since the discovery of transfection many side effects or artifacts caused by transfection reagents have been reported. Here, we show that the transfection reagent, JetPRIME alters the localization of the splicing protein SC35 widely used as a nuclear speckle marker. We demonstrate that transfection of plasmids with JetPRIME leads to enlarged SC35 speckles and SC35 cytoplasmic granules. By contrast, transfection of the same plasmid with Lipofectamine 3000 does not have any effect on SC35 localization. The formation of SC35 cytoplasmic granules by JetPRIME-mediated transfection is independent of exogenous expression by plasmid and although similar in morphology they are distinct from P-bodies and stress granules. This method of transfection affected only SC35 and phosphorylated SR proteins but not the nuclear speckles. The JetPRIME-mediated transfection also showed compromised transcription in cells with enlarged SC35 speckles. Our work indicates that the use of JetPRIME alters SC35 localization and can affect gene expression and alternative splicing. Therefore, caution should be exercised when interpreting results after the use of a transient transfection system, particularly when the subject of the study is the function of a protein in the control of gene expression or mRNA splicing."
31898010,,New-Generation Benzimidazole-Based Plasmid Delivery Reagents with High Transfection Efficiencies on the Mammalian Cells.,2020,In Vitro Cell Dev Biol Anim,10.1007/s11626-019-00418-4,"['Furkan Ayaz', 'Ronak Haj Ersan', 'Burak Kuzu', 'Oztekin Algul']","['Cell culture', 'Gene Therapy', 'Substituted benzimidazole', 'Tissue culture', 'Transfection']","Gene transfer and gene therapy studies require high-efficiency gene delivery reagents. By transferring the piece of DNA that we are interested in, we can alter the expression of certain gene or genes to further characterize its role in the cell function or in the organism's development, metabolism, immune system, etc. Transfection reagents that enable efficient delivery of the DNA to the cells are important tools in the molecular and cellular biology studies. There are chemical products and tools that have been used for transfection of the cells but they are not as efficient as desired or they can induce cytotoxicity. It is crucial to design and generate new transfection reagents to further support the field of biotechnology, molecular studies, cellular biology, and in vitro studies relying on them. The more efficient and the less cytotoxic compounds will be especially useful for the field. We synthesized a new set of benzimidazole-based transfection reagents that have higher efficiency to carry GFP expressing plasmid in to the mammalian cells compared with the commercially available ones with low cytotoxicity. GFP expression levels were tracked by flow cytometry to determine the transfection efficiencies. Benzimidazole-based transfection reagents can be safely used for transfection studies in tissue culture as well as in gene therapy applications due to their high efficiency in the gene transfer to the mammalian cells."
31830670,,Flow micropillar array electroporation to enhance size specific transfection to a large population of cells.,2019,Bioelectrochemistry,10.1016/j.bioelechem.2019.107417,"['Yingbo Zu', 'Xuan Liu', 'An-Yi Chang', 'Shengnian Wang']","['Carbon electrode', 'Electroporation', 'Micropillar array', 'Nonviral transfection', 'Transfection enhancement']","Despite serving as a popular non-viral delivery approach, electroporation carries several drawbacks in its current configurations. We developed a Flow Micropillar-array Electroporation (FME) system to wisely regulate an important transmembrane-determining factor, namely cell size variations among individual cells, to achieve effective transfection. In FME, cells flow through a slit-type microfluidic channel on which carbon electrodes with well-patterned micropillar array texture are integrated as the top and bottom wall. Gravity helps bring cells to the micropillar array surface so that the permeable area on cells in different size populations is specified by their size regardless their random location fact. Without sacrificing cell viability, we demonstrate this FME concept by delivering DNA plasmids to several mammalian cell lines with obvious transfection enhancement when compared to a commercial system (K562: 3.0 folds; A549: 3.3 folds; HeLa: 1.8 folds, COS7: 1.7 folds; 293T: 2.9 folds; mES: 2.5 folds). Moreover, carbon-based electrodes are less expensive, more durable, and convenient for integration with a microfluidic setup which enables rapid and massive transfection capability that many therapeutic application needs. The success of FME may benefit many emerging biological studies and clinical practice that requires effective transfection to a large population of cells in limited processing time."
30987672,PMC6466792,Estimating transfection efficiency in differentiated and undifferentiated neural cells.,2019,BMC Res Notes,10.1186/s13104-019-4249-5,"['Abeer A Alabdullah', 'Basma Al-Abdulaziz', 'Hanan Alsalem', 'Amna Magrashi', 'Subramanian M Pulicat', 'Amer A Almzroua', 'Falah Almohanna', 'Abdullah Mohamed Assiri', 'Nada A Al Tassan', 'Bashayer R Al-Mubarak']","['Lipofection', 'Neuroblastoma cell lines', 'Primary cortical astrocytes', 'Primary cortical neurons', 'Transfection efficiency']","Delivery of constructs for silencing or over-expressing genes or their modified versions is a crucial step for studying neuronal cell biology. Therefore, efficient transfection is important for the success of these experimental techniques especially in post-mitotic cells like neurons. In this study, we have assessed the transfection rate, using a previously established protocol, in both primary cortical cultures and neuroblastoma cell lines. Transfection efficiencies in these preparations have not been systematically determined before."
31433200,,Transfection Efficiency Evaluation and Endocytosis Exploration of Different Polymer Condensed Agents.,2019,DNA Cell Biol,10.1089/dna.2018.4464,"['Jianhua Wang', 'Xiaolei Ye', 'Hongbing Ni', 'Jianfeng Zhang', 'Shaoqing Ju', 'Weifeng Ding']","['PEI', 'PLL', 'cationic polymer', 'chitosan', 'gene vector', 'spermidine']","DNA condensed agents can improve the transfection efficiency of the cationic liposome delivery system. However, various condensed agents have distinct transfection efficiency and cellular cytotoxicity. The object of this study was to screen the optimal agents with the high transfection efficiency and low cytotoxicity from four polymer compressive materials, polyethylenimine (PEI), chitosan, poly-l-lysine (PLL), and spermidine. DNA was precompressed with these four agents and then combined to cationic liposomes. Subsequently, the entrapment and transfection efficiency of the obtained complexes were investigated. Finally, the particle sizes, cytotoxicity, and endocytosis fashion of these copolymers (Lipo-PEI, Lipo-chitosan, Lipo-PLL, and Lipo-spermidine) were examined. It was found that these four copolymers had significantly lower cytotoxicity and higher transfection efficiency (45.5%, 42.4%, 36.8%, and 47.4%, respectively) than those in the control groups. The transfection efficiency of Lipo-PEI and Lipo-spermidine copolymers were better than the other two copolymers. In 293T cells, nystatin significantly inhibited the transfection efficiency of Lipo-PEI-DNA and Lipo-spermidine-DNA (51.88% and 46.05%, respectively), which suggest that the endocytosis pathway of Lipo-spermidine and Lipo-PEI copolymers was probably caveolin dependent. Our study indicated that these dual-degradable copolymers especially liposome-spermidine copolymer could be used as the potential biocompatible gene delivery carriers."
31481343,,Transient transfection of Babesia ovis using heterologous promoters.,2019,Ticks Tick Borne Dis,10.1016/j.ttbdis.2019.101279,"['Catarina Rosa', 'Masahito Asada', 'Hassan Hakimi', 'Ana Domingos', 'Madalena Pimentel', 'Sandra Antunes']","['Babesia ovis', 'Elongation factor-1alpha', 'Heterologous promoter', 'Luciferase', 'Transient transfection']","Babesia species, etiological agents of babesiosis, a recognized emerging tick-borne disease, are a significant animal and human health concern with a worldwide socio-economic impact. The development of genetic manipulation techniques, such as transfection technology, is pivotal to improve knowledge regarding the biology of these poorly studied parasites towards better disease control strategies. For Babesia ovis, responsible for ovine babesiosis, a tick-borne disease of small ruminants, these tools are not yet available. The present study was based on the existence of interchangeable cross-species functional promoters between Babesia species. Herein, we describe for the first time B. ovis transient transfection using two heterologous promoters, the ef-1α-B intergenic regions from B. bovis and B. ovata. Their ability to drive expression of a reporter luciferase in B. ovis supports their cross-species functionality. Also, the ef-1α-B promoter region from B. ovata resulted in statistically significantly higher luminescence values in comparison to the control, thus a possibly suitable promoter for stable gene expression. Evaluation of transfection efficiency using qPCR demonstrated that higher luminescence levels were due to promoter strength rather than a higher transfection efficiency. These findings represent a step forward in the development of methods for B. ovis genetic manipulation, an undoubtedly necessary tool to study this parasite basic biology, including its life cycle, the parasite interactions with host cells and virulence factors."
30203552,,A novel cell transfection platform based on laser optoporation mediated by Au nanostar layers.,2018,J Biophotonics,10.1002/jbio.201800166,"['Timofey Pylaev', 'Ekaterina Vanzha', 'Elena Avdeeva', 'Boris Khlebtsov', 'Nikolai Khlebtsov']","['Au nanoparticles', 'Au nanostar layers', 'HeLa cells', 'cell transfection', 'optoporation', 'plasmid DNA']","The recently developed laser-induced cell transfection mediated by Au nanoparticles is a promising alternative to the well-established lipid-based transfection or to electroporation. Optoporation is based on the laser plasmonic heating of nanoparticles located near the cell membrane. However, the uncontrollable cell damage from intense laser pulses and from random attachment of nanoparticles may be crucial for transfection. We present a novel plasmonic optoporation technique that uses Au nanostar layers immobilized in culture microplate wells. HeLa cells were grown directly on Au nanostar layers, after which they were subjected to continuous-wave 808 nm laser irradiation. An Au monolayer density ~15 μg/cm"
30644030,,Gene delivery into Siberian sturgeon cell lines by commercial transfection reagents.,2019,In Vitro Cell Dev Biol Anim,10.1007/s11626-018-00316-1,"['Ji Hun Lee', 'Seung Tae Lee', 'Yoon Kwon Nam', 'Seung Pyo Gong']","['Cell lines', 'Gene delivery', 'Siberian sturgeon', 'Transfection reagent']","The optimal transfection conditions for efficient transgene delivery into a specific cell type should be empirically determined, particularly in cases involving unusual cell types. We compared the conditions for effective introduction of transgenes into Siberian sturgeon (Acipenser baerii) cell lines by evaluating the cytotoxicity and transfection efficiency of three commercially available transfection reagents: Lipofectamine 2000, X-tremeGENE HP DNA Transfection Reagent, and GeneJuice Transfection Reagent. Plasmid vectors containing the gene encoding enhanced green fluorescent protein were mixed with each of the transfection reagents using reagent-to-plasmid ratios of 1:1, 2:1, and 4:1. Then, the complexes were used to transfect three Siberian sturgeon cell lines derived from the heart, head kidney, and gonad. Cytotoxicity and transfection efficiency were measured via flow cytometry after propidium iodide staining. No significant cytotoxicity was observed at the optimal treatment conditions in all cases, with the exception of Lipofectamine 2000-treated gonad-derived cells. Although the transfection efficiencies in A. baerii cells were generally low, X-tremeGENE HP DNA Transfection Reagent showed the highest transfection efficiency at ratios of 2:1 or 4:1, depending on the cell type. Hence, X-tremeGENE HP DNA Transfection Reagent can be used to effectively transfer foreign genes into three A. baerii cell lines."
31372658,PMC6765116,"A 'poly-transfection' method for rapid, one-pot characterization and optimization of genetic systems.",2019,Nucleic Acids Res,10.1093/nar/gkz623,"['Jeremy J Gam', 'Breanna DiAndreth', 'Ross D Jones', 'Jin Huh', 'Ron Weiss']",[],"Biological research is relying on increasingly complex genetic systems and circuits to perform sophisticated operations in living cells. Performing these operations often requires simultaneous delivery of many genes, and optimizing the stoichiometry of these genes can yield drastic improvements in performance. However, sufficiently sampling the large design space of gene expression stoichiometries in mammalian cells using current methods is cumbersome, complex, or expensive. We present a 'poly-transfection' method as a simple yet high-throughput alternative that enables comprehensive evaluation of genetic systems in a single, readily-prepared transfection sample. Each cell in a poly-transfection represents an independent measurement at a distinct gene expression stoichiometry, fully leveraging the single-cell nature of transfection experiments. We first benchmark poly-transfection against co-transfection, showing that titration curves for commonly-used regulators agree between the two methods. We then use poly-transfections to efficiently generate new insights, for example in CRISPRa and synthetic miRNA systems. Finally, we use poly-transfection to rapidly engineer a difficult-to-optimize miRNA-based cell classifier for discriminating cancerous cells. One-pot evaluation enabled by poly-transfection accelerates and simplifies the design of genetic systems, providing a new high-information strategy for interrogating biology."
30571082,,Influence of Cell Morphology on Mesenchymal Stem Cell Transfection.,2019,ACS Appl Mater Interfaces,10.1021/acsami.8b20490,"['Yingjun Yang', 'Xinlong Wang', 'Xiaohong Hu', 'Naoki Kawazoe', 'Yingnan Yang', 'Guoping Chen']","['cell morphology', 'cellular uptake', 'mesenchymal stem cell', 'micropatterning', 'transfection']","Gene transfection has broad applications in bioengineering and biomedical fields. Although many gene carrier materials and transfection methods have been developed, it remains unclear how cell morphology including cell spreading and elongation affects gene transfection. In this study, human bone marrow-derived mesenchymal stem cells (hMSCs) were cultured on micropatterns and transfected with cationic pAcGFP1-N1 plasmid complexes. The relationship between the cell morphology of hMSCs and gene transfection was investigated using micropatterning techniques. Spreading and elongation of hMSCs were precisely controlled by micropatterned surfaces. The results showed that well-spread and elongated hMSCs had high transfection efficiency. Analysis of the uptake of exogenous genes and DNA synthesis activity indicated that the well-spread and elongated cell morphology promoted gene transfection through enhanced uptake of the cationic complexes and accelerated DNA synthesis. The results should provide useful information for understanding of cell morphology on gene transfection and development of efficient gene transfection methods."
