PMID,PMCID,Title,Year,Journal,DOI,Authors,Keywords,Abstract
30603772,,Does facet tropism negatively affect the response to transforaminal epidural steroid injections? A prospective clinical study.,2019,Skeletal Radiol,10.1007/s00256-018-3129-8,"['Alp Eren Celenlıoglu', 'Savas Sencan', 'Osman Hakan Gunduz']","['Facet tropism', 'Lumbar radicular pain', 'Transforaminal epidural steroid injection']",To examine the impact of the presence of facet tropism on the results of transforaminal epidural steroid injection for unilateral radicular pain induced by lumbar disc herniation.
29166933,PMC5700519,Correlation between facet tropism and lumbar degenerative disease: a retrospective analysis.,2017,BMC Musculoskelet Disord,10.1186/s12891-017-1849-x,"['Tian Gao', 'Qi Lai', 'Song Zhou', 'Xuqiang Liu', 'Yuan Liu', 'Ping Zhan', 'Xiaolong Yu', 'Jun Xiao', 'Min Dai', 'Bin Zhang']","['Degenerative lumbar scoliosis', 'Degenerative lumbar spondylolisthesis', 'Facet tropism', 'Lumbar degeneration diseases', 'Lumbar disc herniation']","The aim of this study was to investigate the correlation between facet tropism and spinal degenerative diseases, such as degenerative lumbar spondylolisthesis, degenerative lumbar scoliosis, and lumbar disc herniation."
31034084,,First prospective comparison of genotypic versus phenotypic tropism assays in predicting virologic responses to maraviroc in a phase 3 study.,2019,New Microbiol,,"['Jayvant Heera', 'Srinivas R Valluri', 'Charles Craig', 'Annie Fang', 'Neal Thomas', 'Ralph D Meyer', 'Marilyn E Lewis', 'Elna van der Ryst', 'James Demarest']","['HIV-1', 'assay', 'genotypic', 'phenotypic', 'tropism']","Maraviroc (MVC, a CCR5 antagonist) is only fully active against CCR5 tropic [R5] HIV-1, and tropism testing is required prior to initiating treatment. The MODERN study prospectively compared genotypic (GTT) and phenotypic (Trofile®) tropism testing with treatment-naive HIV-1-infected participants randomized 1:1 to either GTT or Trofile tropism assessments. Participants with R5 virus were randomized 1:1 to receive darunavir/ritonavir (DRV/r) with either MVC or tenofovir/emtricitabine. Screening samples were also retrospectively tested using the alternative assay. Positive predictive values (PPVs) for each assay were estimated using both the observed MVC+DRV/r response rate (HIV-1 RNA <50 copies/mL at Week 48) and model-based response estimates. The observed MVC+DRV/r response rate was 146/181 (80.7%) for GTT versus 160/215 (74.4%) for Trofile, with a stratification adjusted difference of 6.6% (95% CI, -1.5% to 14.7%) in favor of GTT. The model-based PPV estimates (±standard error) were 80.5% (±2.38) and 78.0% (±2.35) for GTT and Trofile, respectively (difference, 2.5%; 95% CI, -2.0% to 7.0%). Most participants had R5 results using both assays (285/396; 72%) and, of those, 79.3% (226/285) had HIV-1 RNA <50 copies/mL at Week 48. Both the genotypic and phenotypic tropism assays evaluated can effectively predict treatment response to MVC."
30413179,PMC6234773,Tropism of mesenchymal stem cell toward CD133,2018,Stem Cell Res Ther,10.1186/s13287-018-1049-0,"['Lorena Favaro Pavon', 'Tatiana Tais Sibov', 'Andrea Vieira de Souza', 'Edgar Ferreira da Cruz', 'Suzana M F Malheiros', 'Francisco Romero Cabral', 'Jean Gabriel de Souza', 'Pamela Boufleur', 'Daniela Mara de Oliveira', 'Silvia Regina Caminada de Toledo', 'Luciana C Marti', 'Jackeline Moraes Malheiros', 'Fernando F Paiva', 'Alberto Tannús', 'Sérgio Mascarenhas de Oliveira', 'Ana Marisa Chudzinski-Tavassi', 'Manoel A de Paiva Neto', 'Sérgio Cavalheiro']","['CD133+ cells', 'Chemokines', 'Exosomes', 'Experimental model', 'MSCs', 'Tropism']","Previous studies have demonstrated remarkable tropism of mesenchymal stem cells (MSCs) toward malignant gliomas, making these cells a potential vehicle for delivery of therapeutic agents to disseminated glioblastoma (GBM) cells. However, the potential contribution of MSCs to tumor progression is a matter of concern. It has been suggested that CD133"
28219354,PMC5319171,Relationship between facet tropism and facet joint degeneration in the sub-axial cervical spine.,2017,BMC Musculoskelet Disord,10.1186/s12891-017-1448-x,"['Xin Rong', 'Ziyang Liu', 'Beiyu Wang', 'Xuelin Pan', 'Hao Liu']","['Cervical spine', 'Degeneration', 'Facet joint', 'Tropism']","Facet tropism is the angular asymmetry between the left and right facet joint orientation. Although debatable, facet tropism was suggested to be associated with disc degeneration, facet degeneration and degenerative spondylolisthesis in the lumbar spine. The purpose of this study was to explore the relationship between facet tropism and facet degeneration in the sub-axial cervical spine."
30567992,PMC6401448,Glycoprotein K8.1A of Kaposi's Sarcoma-Associated Herpesvirus Is a Critical B Cell Tropism Determinant Independent of Its Heparan Sulfate Binding Activity.,2019,J Virol,10.1128/JVI.01876-18,"['Stephen J Dollery', 'Rey J Santiago-Crespo', 'Deboeeta Chatterjee', 'Edward A Berger']","['B cell', 'HHV-8', 'K8.1A', 'KSHV', 'latent infection', 'tropism', 'virus entry', 'virus glycoprotein']","B lymphocytes are the major cellular reservoir in individuals infected with Kaposi's sarcoma-associated herpesvirus (KSHV), and the virus is etiologically linked to two B cell lymphoproliferative disorders. We previously described the MC116 human B cell line as a KSHV-susceptible model to overcome the paradoxical refractoriness of B cell lines to experimental KSHV infection. Here, using monoclonal antibody inhibition and a deletion mutant virus, we demonstrate that the KSHV virion glycoprotein K8.1A is critical for infection of MC116, as well as tonsillar B cells; in contrast, we confirm previous reports on the dispensability of the glycoprotein for infection of primary endothelial cells and other commonly studied non-B cell targets. Surprisingly, we found that the role of K8.1A in B cell infection is independent of its only known biochemical activity of binding to surface heparan sulfate, suggesting the possible involvement of an additional molecular interaction(s). Our finding that K8.1A is a critical determinant for KSHV B cell tropism parallels the importance of proteins encoded by positionally homologous genes for the cell tropism of other gammaherpesviruses."
31629787,,Cancer cell-type tropism is one of crucial determinants for the efficient systemic delivery of cancer cell-derived exosomes to tumor tissues.,2019,Eur J Pharm Biopharm,10.1016/j.ejpb.2019.10.005,"['Sherif E Emam', 'Amr Selim Abu Lila', 'Nehal E Elsadek', 'Hidenori Ando', 'Taro Shimizu', 'Keiichiro Okuhira', 'Yu Ishima', 'Mahmoud A Mahdy', 'Fakhr-Eldin S Ghazy', 'Tatsuhiro Ishida']","['Cell-type tropism', 'Exosome', 'Tumor accumulation', 'Tumor targeting']","Exosomes are gaining increasing attention as drug delivery vehicles due to their low toxicity and ability to functionally transfer biological cargos between cells. However, the therapeutic applicability of exosomes is partially hampered by a lack of cell-type specificity. In this study, therefore, we investigated the impact of cell-type tropism on the in vivo systemic delivery of exosomes to tumor tissues. Exosomes derived from murine colorectal cancer cells (C26) (C26-Exos) and murine melanoma cells (B16BL6) (B16BL6-Exos) were collected. In vitro cellular uptake of either autologous (C26) or allogeneic (B16BL6) exosomes by C26 tumor cells was determined. In vivo tumor accumulation of each type of exosomes in mice bearing C26 tumors was monitored with an in vivo imaging system (IVIS). In in vitro studies, autologous C26-Exos were more efficiently taken up by C26 cancer cells, compared to allogeneic B16BL6-Exos. For in vivo studies, exosomes were modified with surface polyethylene glycol (PEG) to improve their circulation lifetimes. Although both types of PEGylated exosomes accumulated in C26-tumor tissue, autologous exosomes were preferentially accumulated within C26-tumor tissue compared to allogeneic exosomes. The increased tumor accumulation of autologous PEGylated exosomes was accompanied by the preferential uptake of exosomes by not only C26-tumor cells but also tumor-associated immune cells. This study implies that cancer cell-type tropism is an important factor in the achievement of tumor cell targeting with cancer cell-derived exosomes."
28279769,,Lumbar Facet Tropism: A Comprehensive Review.,2017,World Neurosurg,10.1016/j.wneu.2017.02.114,"['Fernando Alonso', 'Christina M Kirkpatrick', 'William Jeong', 'Christian Fisahn', 'Sameera Usman', 'Tarush Rustagi', 'Marios Loukas', 'Jens R Chapman', 'Rod J Oskouian', 'R Shane Tubbs']","['Anatomy', 'Facet', 'Spine', 'Tropism', 'Variation', 'Vertebral column']","Scattered reports exist in the medical literature regarding facet tropism. However, this finding has had mixed conclusions regarding its origin and impact on the normal spine."
31534511,PMC6735396,Heterologous and cross-species tropism of cancer-derived extracellular vesicles.,2019,Theranostics,10.7150/thno.34824,"['Mariangela Garofalo', 'Alessandro Villa', 'Daniela Crescenti', 'Monica Marzagalli', 'Lukasz Kuryk', 'Patrizia Limonta', 'Vincenzo Mazzaferro', 'Paolo Ciana']","['cancer therapy', 'extracellular vesicles', 'immunocompetent cancer mouse models', 'in vivo imaging.', 'oncolytic adenoviruses']","Extracellular vesicles (EVs) are naturally occurring cargo delivery vesicles that have recently received considerable attention for their roles in intercellular communication in many physiological and pathological processes, including tumourigenesis. EVs generated by different tissues demonstrated specific homing: in particular, cancer-derived EVs showed a selective tropism for the tumor tissue from which the vesicles originated. For this property, EVs have been proposed as drug delivery tools for anti-cancer therapies, although the limited knowledge about their "
31484573,PMC6727330,"Tropism of Newcastle disease virus strains for chicken neurons, astrocytes, oligodendrocytes, and microglia.",2019,BMC Vet Res,10.1186/s12917-019-2053-z,"['Salman L Butt', 'Veridiana Maria Brianezi Dignani Moura', 'Leonardo Susta', 'Patti J Miller', 'Jessica M Hutcheson', 'Stivalis Cardenas-Garcia', 'Corrie C Brown', 'Franklin D West', 'Claudio L Afonso', 'James B Stanton']","['Double immunofluorescence', 'Neurotropism', 'Newcastle disease virus', 'Paramyxovirus', 'Primary chicken neural cells', 'Tropism']","Newcastle disease (ND), which is caused by infections of poultry species with virulent strains of Avian orthoavulavirus-1, also known as avian paramyxovirus 1 (APMV-1), and formerly known as Newcastle disease virus (NDV), may cause neurological signs and encephalitis. Neurological signs are often the only clinical signs observed in birds infected with neurotropic strains of NDV. Experimental infections have shown that the replication of virulent NDV (vNDV) strains is in the brain parenchyma and is possibly confined to neurons and ependymal cells. However, little information is available on the ability of vNDV strains to infect subset of glial cells (astrocytes, oligodendrocytes, and microglia). The objective of this study was to evaluate the ability of NDV strains of different levels of virulence to infect a subset of glial cells both in vitro and in vivo. Thus, neurons, astrocytes and oligodendrocytes from the brains of day-old White Leghorn chickens were harvested, cultured, and infected with both non-virulent (LaSota) and virulent, neurotropic (TxGB) NDV strains. To confirm these findings in vivo, the tropism of three vNDV strains with varying pathotypes (SA60 [viscerotropic], TxGB [neurotropic], and Tx450 [mesogenic]) was assessed in archived formalin-fixed material from day-old chicks inoculated intracerebrally."
31181690,PMC6630879,Seoul Virus Tropism and Pathology in Naturally Infected Feeder Rats.,2019,Viruses,10.3390/v11060531,"['Miriam Maas', 'Melanie van Heteren', 'Ankje de Vries', 'Thijs Kuiken', 'Tabitha Hoornweg', 'Edwin Veldhuis Kroeze', 'Barry Rockx']","['Seoul virus', 'inflammation', 'reservoir', 'tropism']","Seoul virus (SEOV) is a zoonotic orthohantavirus carried by black and brown rats, and can cause hemorrhagic fever with renal syndrome in humans. Human cases of SEOV virus infection have most recently been reported in the USA, United Kingdom, France and the Netherlands and were primarily associated with contact with pet rats and feeder rats. Infection of rats results in an asymptomatic but persistent infection. Little is known about the cell tropism of SEOV in its reservoir and most available data is based on experimental infection studies in which rats were inoculated via a route which does not recapitulate virus transmission in nature. Here we report the histopathological analysis of SEOV cell tropism in key target organs following natural infection of a cohort of feeder rats, comprising 19 adults and 11 juveniles. All adult rats in this study were positive for SEOV specific antibodies and viral RNA in their tissues. One juvenile rat was seropositive, but negative in the rRT-PCR. Of the 19 adult rats of which subsequently additional organs were tested, SEOV RNA was detected in all lungs, followed by kidney (79%) and liver (74%). Histopathologic changes associated with SEOV infection were primarily found in the liver, consistent with a pathological diagnosis of a mild hepatitis. In conclusion, natural SEOV infection results in mild inflammation of the liver in the absence of clinical disease."
31156769,PMC6526133,The Prevalence of Facet Tropism and Its Correlation with Low Back Pain in Selected Community-Based Populations.,2019,Clin Orthop Surg,10.4055/cios.2019.11.2.176,"['Sangbong Ko', 'Seungbum Chae', 'Wonkee Choi', 'Jun-Young Kim', 'Jaibum Kwon', 'Jeongseok Doh']","['Low back pain', 'Lumbar vertebrae', 'Tropism', 'Zygapophyseal joint']","The incidence of facet tropism (FT) and its correlation with low back pain (LBP) have, to our knowledge, not yet been investigated among selected community-based populations who visited departments unrelated to LBP with their chief complaints unrelated to LBP. In this study, we aimed to evaluate the prevalence of FT among selected patients in whom LBP was not the chief complaint and the correlation between FT and LBP among these patients."
28819122,PMC5561076,Anti-inflammatory drugs suppress ultrasound-mediated mesenchymal stromal cell tropism to kidneys.,2017,Sci Rep,10.1038/s41598-017-08887-x,"['Scott R Burks', 'Ben A Nguyen', 'Michele N Bresler', 'Matthew E Nagle', 'Saejeong J Kim', 'Joseph A Frank']",[],"Mesenchymal stromal cells (MSC) are potential renal therapeutics. Clinically, results are mixed partly because MSC tropism to kidneys is minimal following infusion. Ultrasound augmentation of the renal microenvironment is becoming increasingly-important in renal MSC therapies. We demonstrated pulsed-focused-ultrasound (pFUS) increases enhanced homing permeability and retention of MSC in mouse kidneys. Here, we characterized the temporal proteomic response to pFUS in mouse kidneys and its association with MSC tropism. pFUS induced molecular cascades of initial increases in tumor necrosis factor-α (TNFα) and interleukin (IL)-1α, that activated nuclear factor kappa-light-chain-enhancer of activated B cells (NFκB) and cyclooxygenase-2 (COX2) pathways without cell death. This was followed by a 24-48 hour-long response of increased cell adhesion molecules (CAM), trophic and anti-inflammatory factors. Pretreating animals with anti-inflammatory drugs etanercept (TNFα inhibitor), anakinra (IL-1 receptor antagonist), prednisone (NFκB translocation inhibitor), or ibuprofen (COX inhibitor) suppressed molecular changes and inhibited renal MSC tropism. We further examined the role of COX2 using a COX2-knock-out mouse where pFUS was unable to increase MSC tropism. These results demonstrate that renal micro-environmental changes induce MSC tropism and could influence the therapeutic efficacy of MSC. Optimizing the microenvironment and understanding drug effects will enable improvements in MSC therapies for renal disease."
